Year,Duration,Director Likes,num_voted_users,Cast Facebook Likes,Poster Faces,User Review Volume, Gross , Budget , GB Ratio ,IMDB Score,Aspect Ratio,Facebook Likes
1994,99,32,33186,2949,1,78,16671505,50000000,0.33,5.9,1.85,
1995,135,596,12037,15820,1,90,10400000,50000000,0.21,5.1,2.35,943000
2010,108,218,38513,10191,2,127,9528092,22000000,0.43,6.8,2.35,
2005,127,12000,58015,5702,0,374,10137232,50000000,0.20,6,2.35,0
1995,107,607,9227,5461,0,70,9795017,50000000,0.20,5.1,1.85,
2009,95,83,113483,29926,1,245,20488579,50000000,0.41,5.8,1.85,0
2013,124,98,67796,3580,7,258,19445217,60000000,0.32,6.2,2.35,
2002,109,0,34730,52885,2,341,8355815,55000000,0.15,6.4,1.85,0
2016,102,0,34964,24107,4,150,28837115,50000000,0.58,4.8,2.35,
2004,88,5,15880,11972,5,93,6471394,50000000,0.13,4.9,2.35,288000
2000,87,0,8070,3954,0,91,6291602,50000000,0.13,5.6,1.85,
2011,104,71,81800,16481,1,211,10706786,50000000,0.21,5.5,1.85,15000
2009,96,43,19824,1385,2,179,8742261,18000000,0.49,3.7,2.35,
2001,85,70,77684,32831,1,294,43905746,49000000,0.90,5.9,2.35,0
1990,104,212,14429,2795,5,113,21413502,40000000,0.54,6.3,2.35,
2000,190,0,170684,1418,0,867,124107476,48000000,2.59,7.6,1.85,0
1989,127,14000,515306,12884,5,477,197171806,48000000,4.11,8.3,2.35,
2015,120,662,172965,23051,0,627,31569268,49000000,0.64,6.9,2.35,67000
1999,118,176,120202,29748,2,397,66488090,48000000,1.39,6.7,2.35,
2002,112,21000,206104,18141,0,850,95308367,48000000,1.99,6.8,2.35,0
1999,114,737,137854,3743,1,560,60652036,48000000,1.26,7.1,2.35,
2015,137,79,40568,27666,3,185,1206135,50000000,0.02,6.4,2.35,18000
2001,112,109,93367,1823,8,497,56607223,48000000,1.18,6.4,2.35,
2001,120,34,148490,33615,1,537,50173190,48000000,1.05,7.4,2.35,0
2001,123,446,64595,22209,1,316,47095453,48000000,0.98,6.4,1.85,
2000,93,11000,81888,5390,2,254,37879996,48000000,0.79,6,2.35,0
1984,123,0,12771,18793,1,84,25900000,58000000,0.45,6.5,1.85,
2007,122,446,237872,33548,1,560,53574088,55000000,0.97,7.8,2.35,0
2014,115,118,133436,16967,0,323,89253340,48000000,1.86,6,2.35,
1998,123,0,71708,3768,1,307,37339525,48000000,0.78,7,1.85,0
1996,96,0,122347,3718,1,345,60154431,47000000,1.28,6,2.35,
1990,105,631,47819,2096,1,164,103738726,100000000,1.04,6.1,1.85,2000
1999,113,323,73068,4660,0,419,69304264,48000000,1.44,6.8,2.35,
2001,132,545,22447,4796,1,210,29781453,48000000,0.62,6.4,1.85,0
2006,75,0,8693,6863,3,71,15519841,47000000,0.33,4.5,1.85,
1996,108,350,11913,8349,1,97,5600000,47000000,0.12,5.8,1.85,616000
1997,105,29,98199,12344,1,169,126805112,46000000,2.76,6.3,2.35,
2001,102,148,47573,9176,4,343,93607673,48000000,1.95,5.7,2.35,881000
2002,118,22000,218771,15658,0,651,67263182,46000000,1.46,7.2,2.35,
1996,111,906,97838,6315,2,286,92001027,45000000,2.04,7.6,2.35,3000
2010,81,39,45729,14619,1,176,10539414,47000000,0.22,4.7,2.35,
1996,116,380,40126,33233,1,107,58918501,46000000,1.28,6.6,1.85,975000
1997,86,293,220392,2070,1,243,181395380,45000000,4.03,6.8,1.85,
2016,127,65,2581,2104,1,29,14946229,25000000,0.60,7.3,2.35,0
1994,91,32,60884,3244,2,85,130512915,45000000,2.90,4.8,1.33,
2012,98,118,238671,16410,0,461,139852971,45000000,3.11,6.3,2.35,63000
2003,84,119,111526,3629,7,347,110000082,48000000,2.29,5.5,1.85,
2000,109,80,137377,1574,1,370,106807667,45000000,2.37,6.2,1.85,0
2008,93,40,85323,17925,0,212,101702060,45000000,2.26,5.8,1.85,
2004,113,0,53687,15362,2,152,95149435,40000000,2.38,5.7,1.85,1000
1993,141,79,59569,30063,0,89,100768056,45000000,2.24,6.5,2.35,
1994,119,541,45798,4043,3,94,92115211,45000000,2.05,6.7,2.35,1000
2007,97,0,184795,14868,1,310,93452056,45000000,2.08,7.4,1.85,
1992,117,176,81442,12757,1,137,83287363,45000000,1.85,6.9,2.35,0
2005,101,126,43358,6292,0,228,82931301,60000000,1.38,5.5,2.35,
2013,153,777,383591,37321,2,620,60962878,46000000,1.33,8.1,1.85,86000
2001,122,845,305929,22370,2,633,76261036,45000000,1.69,7.7,2.35,
1999,102,23,123558,26998,3,609,71423726,45000000,1.59,7.3,2.35,19000
2001,83,322,119590,1645,7,548,71277420,45000000,1.58,5.2,1.85,
2011,103,33,75176,1336,3,252,88625922,45000000,1.97,7.1,1.85,26000
1998,110,45,191437,3174,1,582,70001065,45000000,1.56,7.1,2.35,
2005,136,49,92702,20299,0,209,67253092,30000000,2.24,7.2,2.35,0
2002,91,50,57281,758,0,350,66790248,45000000,1.48,6.5,2.35,
1997,89,49,73539,3717,0,271,65557989,45000000,1.46,4.6,2.35,0
2000,107,18,90539,3106,5,379,60786269,45000000,1.35,5.6,2.35,
2003,129,628,318634,28886,9,1004,59365105,45000000,1.32,7.7,2.35,52000
1998,95,487,211226,24205,0,317,162792677,120000000,1.36,7.2,2.35,
2001,122,117,124765,41636,1,541,31598308,35000000,0.90,6.8,2.35,0
1994,110,49,50148,13331,2,116,57362581,45000000,1.27,5.4,1.85,
1996,135,41,37911,3648,0,73,53854588,45000000,1.20,6.3,2.35,1000
2005,95,58,30255,27351,1,118,52580895,45000000,1.17,5.6,2.35,
2005,109,37,155745,14073,0,1053,51019112,50000000,1.02,6.8,2.35,1000
2004,93,38,9380,4604,1,91,48114556,26000000,1.85,4.3,2.35,
2007,94,85,149549,16225,1,348,50648679,45000000,1.13,6.3,2.35,0
2014,117,153,87165,49743,0,184,46280507,40000000,1.16,6.5,1.85,
2006,112,61,21215,3757,1,116,38360195,45000000,0.85,6.4,2.35,0
1994,111,161,32544,12161,1,69,46815748,45000000,1.04,6.3,2.35,
1995,96,0,20688,2965,1,47,35617599,45000000,0.79,5.9,1.85,0
2012,141,0,104301,1948,4,269,47307550,45000000,1.05,6.5,2.35,
2004,94,160,79141,1102,1,355,32003620,25000000,1.28,6.5,2.35,2000
2003,87,29,114692,1461,1,285,27972410,35000000,0.80,6.1,1.85,
2006,88,8,30055,33822,1,70,28133159,50000000,0.56,5.9,1.85,593000
1984,177,0,97087,2449,3,569,27400000,40000000,0.69,6.6,2.35,
2007,133,278,91860,5405,0,524,24343673,45000000,0.54,7.4,2.35,14000
2008,119,0,152591,53895,0,414,22877808,35000000,0.65,7.3,2.35,
2006,102,503,112769,15053,2,305,36883539,52000000,0.71,6.6,2.35,0
2008,101,326,81523,15990,0,214,22531698,70000000,0.32,5.6,2.35,
1996,91,29,15455,3855,1,80,20400913,45000000,0.45,5.3,1.85,451000
1996,117,11000,24757,2348,0,81,20101861,45000000,0.45,6,2.35,
2009,86,13,16580,3423,3,55,25200412,45000000,0.56,5.4,1.85,916000
2001,124,0,42621,793,0,531,19719930,45000000,0.44,6.8,2.35,
2005,134,38,35140,24351,3,409,19377727,45000000,0.43,6.4,2.35,0
2012,95,38,203461,578,0,588,13401683,35000000,0.38,7.1,2.35,
1996,100,23,27648,3855,0,148,17300889,45000000,0.38,4.9,2.35,0
2000,220,0,11388,15006,2,183,15527125,57000000,0.27,5.8,2.35,
1995,212,0,23996,21130,0,161,13560960,50000000,0.27,7.1,2.35,915000
2010,128,2000,132423,2507,2,349,15523168,45000000,0.34,7.2,2.35,
1998,106,208,26551,6558,0,273,11146409,45000000,0.25,6,2.35,0
2008,160,0,15697,26982,0,182,7916887,45000000,0.18,6,2.35,
2006,114,611,36455,949,2,229,6565495,45000000,0.15,7,2.35,0
2008,99,15,48245,12166,1,154,15279680,40000000,0.38,5.4,1.85,
2002,74,188,17307,13917,2,186,7262288,40000000,0.18,6.5,1.85,892000
2007,139,179,19114,538,0,115,4584886,45000000,0.10,6.4,2.35,
1997,103,170,3803,2457,2,41,2154540,45000000,0.05,4.9,2.35,68000
2011,101,32,89568,661,1,142,8129455,45000000,0.18,6.3,2.35,
2012,130,0,452465,3133,1,695,136019448,44500000,3.06,7.7,2.35,89000
1993,130,99,213668,13357,1,270,183875760,44000000,4.18,7.8,1.85,
2010,110,72,96565,21554,1,135,67061228,40000000,1.68,5.5,2.35,0
1996,147,272,154487,37076,3,259,53300852,44000000,1.21,7.5,2.35,
1985,96,170,117606,15662,0,217,150415432,44000000,3.42,6.4,2.35,0
1996,118,13,13995,26907,1,62,44834712,44000000,1.02,5.6,2.35,
1940,88,3,90360,1178,0,147,84300000,2600000,32.42,7.5,1.37,0
1980,325,517,9830,14255,0,189,1500000,44000000,0.03,6.8,2.35,
2006,102,235,156225,2998,1,502,62318875,50000000,1.25,6.8,2.35,0
2015,110,118,28618,12876,2,91,5773519,40000000,0.14,6,2.35,
2000,136,835,73006,1801,1,297,51768623,43000000,1.20,7.3,2.35,0
2000,103,84,34597,23864,1,194,37035515,43000000,0.86,6,1.37,
2005,103,255,85198,22383,1,303,24520892,45000000,0.54,7,2.35,0
2002,90,16,46158,132,3,403,24430272,43000000,0.57,5.1,1.85,
1993,154,521,88844,14244,0,142,158348400,42000000,3.77,6.8,1.85,0
2010,99,23,47364,1066,1,75,31136950,44000000,0.71,6.5,2.35,
2011,93,165,117999,27834,0,181,29113588,40000000,0.73,6.6,2.35,16000
2012,109,97,408302,19968,2,345,138447667,42000000,3.30,7.2,2.35,
1999,124,50,203269,9255,1,602,116006080,42000000,2.76,7,2.35,11000
2000,84,91,140499,1817,0,358,106793915,45000000,2.37,7,1.85,
2004,90,29,106909,24534,1,268,87856565,42000000,2.09,5.9,1.85,0
1992,117,71,20183,3841,1,41,70100000,40000000,1.75,5.4,1.85,
2013,123,176,133177,4825,7,380,159578352,43000000,3.71,6.6,2.35,24000
1963,251,311,21554,2957,2,192,57750000,31115000,1.86,7,2.2,
2012,105,153,74169,6727,2,112,45290318,42000000,1.08,6.5,1.85,17000
2002,115,73,30077,15571,1,175,41543207,42000000,0.99,6.3,2.35,
1996,122,0,11453,13716,0,71,41252428,42000000,0.98,6.5,1.85,0
2002,119,89,63677,1651,0,460,35228696,32000000,1.10,6.5,2.35,
2009,81,119,119622,2134,1,396,59992760,42000000,1.43,5.8,1.85,0
1989,133,46,74009,2371,0,317,34667015,32000000,1.08,6.6,2.35,
2011,100,308,91151,15369,2,283,37652565,42000000,0.90,5.4,2.35,2000
2001,120,17,42547,33585,1,265,24375436,42000000,0.58,6.1,2.35,
1993,104,5,38203,7723,0,290,20915465,42000000,0.50,4,1.85,0
2005,122,487,248123,12076,2,437,24127895,50000000,0.48,7.6,2.35,
2002,80,611,149414,6229,4,841,84961,31000000,0.00,7.9,2.35,0
2012,91,30,34203,3301,1,169,26404753,40000000,0.66,5.3,2.35,
2014,112,133,247020,12239,4,835,6105175,44000000,0.14,6.6,2.35,5000
2010,100,19,22309,2056,1,102,5664251,45000000,0.13,6.3,2.35,
2009,105,0,24657,1342,4,71,1260917,27000000,0.05,7.2,2.35,0
2002,110,161,187181,1954,0,564,116724075,41000000,2.85,7,2.35,
2001,144,241,137003,18761,1,658,56083966,65000000,0.86,6.9,2.35,0
2003,108,4,29861,1134,1,132,22108977,41000000,0.54,5.2,2.35,
1999,107,0,704766,17540,0,2073,293501675,40000000,7.34,8.1,1.85,14000
2012,102,20,125198,362,6,153,18600911,42000000,0.44,6.6,2.35,
2011,100,64,34809,2085,0,125,7204138,41000000,0.18,6.2,2.35,11000
1984,126,80,126907,2004,0,235,90800000,8000000,11.35,7.2,1.85,
2013,138,737,358416,83012,5,751,150117807,40000000,3.75,7.3,2.35,63000
2009,108,98,227824,18656,1,273,163947053,40000000,4.10,6.7,2.35,
1999,105,78,56646,2129,0,336,116735231,70000000,1.67,6.4,2.35,0
1989,108,0,340085,3660,0,327,118500000,40000000,2.96,7.8,1.85,
2014,89,0,327367,32325,0,918,126546825,40000000,3.16,6.4,2.35,83000
2015,129,456,220020,4585,0,1360,166147885,40000000,4.15,4.1,2.35,
2003,84,0,40227,22935,3,188,111760631,38000000,2.94,4.1,1.85,681000
1996,149,541,99558,31349,3,236,108706165,40000000,2.72,7.4,2.35,
2003,94,189,75152,7014,15,288,138614544,40000000,3.47,5.8,1.85,0
2013,121,532,203963,1261,0,420,125069696,40000000,3.13,7.6,2.35,
1992,128,545,71754,16751,3,166,107458785,40000000,2.69,7.2,2.35,0
2016,134,0,64989,2676,0,279,102310175,40000000,2.56,7.8,2.35,
2010,120,21000,479453,10555,0,696,96917897,40000000,2.42,7.7,2.35,74000
2009,129,42,132048,318,7,203,93952276,40000000,2.35,6.4,2.35,
2006,89,119,93748,5855,8,410,90703745,45000000,2.02,5.1,1.85,1000
2000,116,0,98535,600,4,734,89138076,40000000,2.23,5.5,2.35,
1990,118,0,283480,3986,0,263,87666629,40000000,2.19,7.4,1.37,0
2015,107,164,85629,12556,2,144,90353764,40000000,2.26,6,1.85,
1992,155,0,143835,42220,0,654,82522790,40000000,2.06,7.5,1.85,14000
2009,123,0,79264,13321,2,277,94125426,40000000,2.35,7,1.85,
2013,128,241,66511,16911,0,200,95001343,40000000,2.38,7.5,2.35,28000
1999,139,333,137891,36810,1,696,81292135,40000000,2.03,7.3,1.85,
2014,109,101,97045,16179,1,285,86208010,35000000,2.46,5.7,1.85,55000
2006,120,155,48806,24300,1,263,81593527,40000000,2.04,7.3,2.35,
2015,121,278,130661,36010,2,304,75274748,35000000,2.15,7.2,1.85,54000
2016,102,167,28621,5178,0,58,90835030,40000000,2.27,5.9,2.35,
1992,117,0,113068,2144,1,382,72455275,40000000,1.81,7.8,2.35,0
2004,178,138,110394,5074,0,433,75305995,40000000,1.88,7.7,1.85,
2005,147,436,656640,3924,1,1732,74098862,40000000,1.85,8.1,1.85,13000
2008,90,38,127528,6775,4,422,72266306,40000000,1.81,6.6,2.35,
2009,105,29,166194,28928,2,215,71347010,40000000,1.78,7.1,1.85,0
2001,114,101,109445,2842,2,426,70836296,40000000,1.77,5.9,1.85,
1991,206,0,113472,698,1,442,70405498,40000000,1.76,8,2.35,0
2006,99,14,31968,19334,0,82,70163652,40000000,1.75,4.6,1.85,
2001,123,563,87351,43917,0,344,66808615,34000000,1.96,6.1,2.35,2000
2014,137,11000,103589,2938,0,351,115603980,65000000,1.78,7.2,2.35,
2009,102,23,146899,7009,1,185,64149837,20000000,3.21,6.4,2.35,0
2014,109,415,104481,2357,2,189,83906114,40000000,2.10,6,2.35,
2009,82,160,75345,303717,0,290,66466372,40000000,1.66,5.2,2.35,0
2015,142,14000,178118,16944,0,355,72306065,40000000,1.81,7.6,2.35,
2001,106,212,86902,2544,2,411,59068786,40000000,1.48,6.4,2.35,0
2004,106,23,35508,2325,2,211,57887882,50000000,1.16,6.1,1.85,
1998,108,287,77415,8610,0,139,53955614,40000000,1.35,6.1,2.35,0
1997,98,20,52805,7039,0,209,54967359,40000000,1.37,5.2,1.85,
2002,131,58,104991,17152,1,544,54228104,35000000,1.55,7.7,1.85,0
2011,118,65,173848,13943,1,203,57981889,40000000,1.45,7.3,2.35,
2011,113,174,210542,17152,3,332,61094903,30000000,2.04,6.9,2.35,29000
2006,130,22000,844052,63986,1,1100,53082743,40000000,1.33,8.5,2.35,
2014,116,51,114294,30571,7,187,54414716,42000000,1.30,6.3,2.35,12000
2013,89,7,20615,3361,2,44,57011847,40000000,1.43,5.9,2.35,
2006,139,0,236000,848,0,1043,50859889,40000000,1.27,7.8,1.85,14000
1987,130,46,69457,1233,1,271,51185897,30000000,1.71,6.7,2.35,
2010,107,190,171418,4243,0,619,52000688,40000000,1.30,6.4,2.35,17000
1986,116,425,7900,2179,3,34,49851591,40000000,1.25,5.9,2.35,
2004,96,192,147504,41293,1,531,47781388,40000000,1.19,6.6,2.35,0
2006,99,18,114321,18693,0,548,52320979,40000000,1.31,6.8,2.35,
2005,104,34,87447,1274,0,371,47806295,43000000,1.11,6.5,2.35,0
2012,105,54,37398,9069,0,110,51853450,25000000,2.07,6.6,1.85,
2008,101,10,54421,4298,2,101,46012734,40000000,1.15,5.8,2.35,3000
2014,134,16000,25465,2281,1,190,47034272,40000000,1.18,6.9,2.35,
1997,135,0,46221,16762,1,141,45856732,40000000,1.15,7.1,2.35,0
2003,98,326,89557,22318,1,376,59588068,40000000,1.49,5.8,1.85,
1997,155,14000,56509,37570,2,227,44175394,36000000,1.23,7.2,1.85,0
1992,106,323,17443,519,2,56,45500797,40000000,1.14,6,2.35,
2007,102,25,92789,4324,0,998,41797066,40000000,1.04,4.7,2.35,0
1994,95,80,49612,4634,1,39,38087756,40000000,0.95,5.2,1.85,
2000,103,643,20201,26938,2,180,37752931,40000000,0.94,5.5,1.85,0
2011,109,99,192462,390,0,334,37371385,40000000,0.93,7,2.35,
2012,95,98,30394,1070,1,103,37101011,40000000,0.93,5.8,2.35,0
2011,111,0,104119,4486,0,518,38176892,40000000,0.95,6.2,2.35,
1999,123,541,104564,12970,1,587,36283504,40000000,0.91,6.5,2.35,0
1991,140,0,68159,3044,1,209,35183792,38000000,0.93,7.2,2.35,
2014,94,52,84382,1488,2,158,38543473,40000000,0.96,5.1,1.85,0
2000,94,0,10132,1238,3,130,36037909,60000000,0.60,4.7,1.85,
2011,92,77,83788,3074,0,227,42575718,40000000,1.06,5.9,2.35,2000
1999,102,6,29968,2913,1,117,33864342,40000000,0.85,5.8,1.85,
2000,123,75,95860,23920,2,660,33508922,40000000,0.84,7.2,1.85,16000
2005,104,101,36223,1827,1,208,42071069,30000000,1.40,6.2,2.35,
2008,102,65,50199,3239,1,101,32853640,40000000,0.82,5.7,2.35,72000
2014,136,3000,136093,28927,3,416,42615685,40000000,1.07,6.1,2.35,
1994,93,85,18723,2711,0,146,32055248,25000000,1.28,6,1.85,0
2011,129,335,81298,15595,1,341,31836745,40000000,0.80,6.9,2.35,
2010,107,50,58871,621,0,156,30993544,40000000,0.77,6.5,2.35,0
2005,117,260,35834,3969,0,284,30981850,40000000,0.77,5,2.35,
2000,116,18,25346,3753,0,167,30199105,40000000,0.75,5.7,2.35,47000
2005,135,0,41685,5917,1,754,29077547,40000000,0.73,7,2.35,
2000,107,55,12093,4565,0,188,29374178,40000000,0.73,5.1,2.35,394000
1999,90,39,10446,1335,2,105,28535768,40000000,0.71,5.3,1.85,
1996,99,287,26051,10469,2,164,27663982,40000000,0.69,4.4,2.35,0
2001,104,0,12856,2888,0,291,27053815,40000000,0.68,4.7,2.35,
2008,115,56,84357,77823,3,252,26814957,35000000,0.77,6.7,1.85,0
2001,119,7,70292,29484,1,274,25178165,40000000,0.63,6.7,1.85,
2007,99,81,37412,960,0,178,25117498,40000000,0.63,5.7,2.35,0
1973,112,17000,67797,23737,0,223,32645,500000,0.07,7.4,1.85,
1994,128,545,13830,3126,1,61,24332324,40000000,0.61,6.1,1.85,68000
2011,112,118,76498,3432,0,203,36665854,40000000,0.92,6.4,2.35,
1998,86,7,11156,14275,0,67,22717758,40000000,0.57,6.2,1.85,0
2002,108,105,21319,34377,1,166,22433915,60000000,0.37,6.2,2.35,
1999,128,34,11232,3821,1,106,22326247,60000000,0.37,5.9,1.85,0
2004,84,33,23747,5039,0,207,21176322,40000000,0.53,4,2.35,
1996,111,17,16741,17877,2,60,20300000,40000000,0.51,6.2,1.85,39000
1995,131,719,49874,18913,0,450,20302961,45000000,0.45,4.6,2.35,
2006,123,0,79892,7243,1,619,15962471,40000000,0.40,6.4,1.85,0
1995,101,58,14226,14008,3,60,14942422,40000000,0.37,5.9,1.85,
2000,102,19,27305,14463,1,284,14967182,40000000,0.37,5.1,2.35,64000
2012,114,171,145270,7099,0,322,18996755,45000000,0.42,7.6,2.35,
1987,107,124,8692,3374,2,126,14375181,51000000,0.28,4.2,1.85,754000
2009,87,0,139114,24770,0,245,20999103,40000000,0.52,7.8,1.85,
2002,103,65,19364,12566,2,128,14448589,40000000,0.36,5.8,2.35,835000
1992,99,0,17365,2125,2,66,14358033,40000000,0.36,5.9,2.35,
2001,122,0,534262,809,0,1314,33201661,77000000,0.43,8.4,2.35,39000
2004,91,29,17722,3974,1,111,14018364,30000000,0.47,4.8,1.85,
2004,103,14,43442,3639,4,146,13395939,60000000,0.22,6.2,1.85,0
2012,107,42,15231,1702,3,66,20113965,40000000,0.50,6.5,2.35,
1999,106,22,10413,4327,1,111,13376506,40000000,0.33,6.3,1.85,579000
2002,101,37,17309,4262,1,388,13208023,42000000,0.31,3.3,2.35,
2009,109,80,35990,20503,3,157,13838130,40000000,0.35,5.9,2.35,0
2015,110,118,28618,12876,2,91,5773519,40000000,0.14,6,2.35,
2003,89,0,46205,3096,0,147,9652000,40000000,0.24,5.8,1.85,0
1980,119,5,2933,1883,0,70,7000000,36000000,0.19,4.7,2.35,
1999,83,7,24216,4024,0,162,10431220,24000000,0.43,4.1,1.85,41000
2009,108,22,121432,14127,0,310,10326062,33000000,0.31,6.8,2.35,
2001,102,39,19986,2664,4,207,6114237,40000000,0.15,6.2,1.85,892000
2002,93,18,4821,4123,0,82,4835968,40000000,0.12,4.5,2.35,
2001,84,8,15130,1149,3,98,4777007,40000000,0.12,5.8,2.35,565000
2007,107,0,190132,11623,0,801,3675072,26000000,0.14,7.3,2.35,
2012,91,48,30842,222,8,93,18438149,40000000,0.46,5.9,2.35,0
2008,94,0,2458,2449,1,26,511920,40000000,0.01,4.4,1.85,
2015,115,180,28429,1686,0,110,10640645,40000000,0.27,5.8,2.35,0
2006,93,13,20201,15638,3,187,652526,40000000,0.02,5.1,2.35,
2007,105,154,186982,2288,0,491,80050171,20000000,4.00,6.9,1.85,0
1995,107,34,54650,13821,1,223,7564000,20000000,0.38,6.2,2.35,
2007,101,47,22010,504,2,90,876671,25000000,0.04,6.9,2.35,0
1994,111,0,65474,2612,2,211,2869369,30000000,0.10,7.3,1.85,
2007,113,31,22897,6267,2,61,128978,40000000,0.00,7.1,2.35,0
2005,112,44,3322,2115,0,32,77231,25000000,0.00,6,2.35,
2013,126,584,181472,12286,5,514,4563029,39200000,0.12,7,1.85,58000
1994,98,295,136580,2630,0,545,50693162,23000000,2.20,7.6,1.85,
2015,159,50,62756,554,1,410,6498000,18026148,0.36,8.4,1.85,21000
2009,107,124,114925,568,1,234,63411478,39000000,1.63,7.1,2.35,
2001,106,357,272227,45327,2,988,144512310,38000000,3.80,6.7,2.35,14000
2012,87,13000,73886,4774,0,165,35287788,39000000,0.90,7,1.85,
2005,119,0,242599,2853,0,1594,25335935,40000000,0.63,8,2.35,14000
2004,110,534,5917,2972,2,50,5881504,39000000,0.15,5.3,2.35,
1983,125,44,49934,2329,1,224,60000000,39000000,1.54,4.9,2.35,0
2013,113,88,46480,36009,1,115,29802761,40000000,0.75,6.4,1.85,
2008,150,610,36894,2172,4,105,626809,553632000,0.00,7.4,2.35,0
2002,108,72,83786,4251,1,392,127214072,38000000,3.35,6.1,2.35,
2009,96,126,163665,22436,2,169,88915214,38000000,2.34,6.5,2.35,9000
1996,93,36,17810,2176,2,73,30400000,39000000,0.78,5.7,2.35,
2002,100,0,44885,18291,1,107,85570368,38000000,2.25,5.1,1.85,478000
1994,118,18,60504,6427,0,249,75668868,35000000,2.16,6.6,2.35,
2013,122,0,24557,943,1,111,6594136,38600000,0.17,6.5,2.35,13000
2011,120,508,95367,36062,1,260,58700247,38000000,1.54,6.9,2.35,
1999,146,278,76016,20516,0,265,50668906,38000000,1.33,7.6,1.85,0
2002,115,150,30667,3770,1,234,39177215,38000000,1.03,5.6,2.35,
2001,123,7,44168,2912,3,216,40334024,35000000,1.15,6.2,2.35,989000
2015,94,99,23473,3552,1,123,71038190,30000000,2.37,4.4,1.85,
2001,102,43,19686,1440,0,180,24044532,38000000,0.63,5.6,1.85,689000
2001,98,11,8433,2765,1,85,22770864,38000000,0.60,5.5,1.85,
1999,133,2000,137722,42344,1,638,18653746,38000000,0.49,6.7,2.35,0
1996,118,150,14066,24547,0,75,17305211,38000000,0.46,6.1,2.35,
2001,105,65,34592,1265,0,191,16991902,57000000,0.30,6.2,2.35,0
2009,109,304,86955,3277,0,275,47536959,10000000,4.75,7.3,1.85,
1996,129,0,17859,16237,4,89,10300000,38000000,0.27,6.6,2.35,911000
1982,109,0,258078,1757,0,911,13782838,15000000,0.92,8.2,2.35,
2013,127,123,125305,17551,0,343,41997790,38000000,1.11,6.4,2.35,39000
1997,118,11,9740,74,1,81,6482195,37000000,0.18,6.4,2.35,
2001,110,49,4757,2120,2,67,623374,38000000,0.02,5.2,2.35,474000
2008,90,27,52908,15494,0,102,7871693,55000000,0.14,6.5,2.35,
2012,144,0,105144,427,31,405,16377274,32000000,0.51,7.1,1.85,27000
2008,130,39,16673,5162,0,45,9589875,40000000,0.24,7.3,2.35,
2016,112,5,55617,19974,0,266,34912982,38000000,0.92,5.2,2.35,14000
2015,133,0,146708,15106,1,362,109712885,35000000,3.13,7.7,2.35,
2010,150,0,280228,14296,7,420,92173235,37000000,2.49,7.6,2.35,29000
2012,110,52,57266,13396,12,89,41102171,40000000,1.03,5.7,2.35,
2008,96,1000,248468,36093,0,545,60338891,37000000,1.63,7,1.85,0
2008,96,3,28109,18178,3,110,48006503,37000000,1.30,6,2.35,
2013,123,2000,312629,37206,0,475,26903709,38000000,0.71,8.1,2.35,83000
1999,188,0,241030,1906,1,1437,22450975,37000000,0.61,8,2.35,
2010,107,0,75347,14483,2,176,44867349,37000000,1.21,5.6,2.35,0
2016,110,11,39440,4882,4,83,46813366,38000000,1.23,6.1,2.35,
2011,113,188,17948,14209,5,86,72279690,37000000,1.95,6.9,1.85,0
2008,122,308,348007,44060,1,1535,191449475,37000000,5.17,5.2,2.35,
2002,116,415,98899,20970,1,394,71026631,36000000,1.97,7,1.85,0
1999,93,10,60572,2986,1,144,68208190,65000000,1.05,6.3,1.85,
2013,118,43,316671,3425,4,301,150368971,37000000,4.06,7,2.35,35000
1997,93,84,38399,1874,0,218,50129186,36000000,1.39,6.9,2.35,
1983,121,883,48636,762,3,214,55500000,36000000,1.54,6.2,2.35,0
2010,101,38,139184,1272,8,243,50213619,36000000,1.39,6.4,1.85,
2014,107,188,6069,13904,0,33,42019483,36000000,1.17,6.4,1.85,0
2000,124,287,31113,10838,0,212,23360779,34000000,0.69,5.7,2.35,
2003,109,473,38348,16611,0,135,26183197,36000000,0.73,6.1,2.35,0
2015,105,488,39778,44037,1,172,20991497,37000000,0.57,5.4,1.85,
1996,130,0,8531,3968,0,57,13052741,36000000,0.36,6.7,1.85,591000
1999,127,96,12375,2393,1,194,14378353,36000000,0.40,6.8,2.35,
2011,114,101,75864,19904,1,197,33037754,37000000,0.89,6,2.35,23000
1997,106,487,220591,1942,2,641,12339633,36000000,0.34,7.8,2.35,
2000,95,31,1977,2928,0,64,2954405,36000000,0.08,5.3,1.85,133000
2008,81,16,8860,2268,0,45,30105968,37000000,0.81,4.5,2.35,
2003,95,0,15046,4537,1,80,37788228,35200000,1.07,5.4,1.85,638000
2009,108,480,583341,17623,3,626,277313371,35000000,7.92,7.8,2.35,
2015,105,25,21912,615,0,45,2126511,36000000,0.06,7.2,2.35,12000
1999,95,116,181225,47203,1,784,205399422,33000000,6.22,6.6,2.35,
1989,126,13000,269033,2725,0,817,251188924,35000000,7.18,7.6,1.85,12000
2011,102,596,3865,3497,0,53,1068392,36000000,0.03,5.9,2.35,
1992,121,503,128010,1446,2,136,144731527,35000000,4.14,6.7,2.35,0
2009,129,102,223127,3389,0,420,255950375,29000000,8.83,7.7,1.85,
2001,88,0,84325,4499,0,205,112692062,35000000,3.22,5.4,1.85,0
2011,106,91,353442,18669,5,387,117528646,35000000,3.36,6.9,2.35,
