movie title,Year,Duration,Director Likes,num_voted_users,Cast Facebook Likes,Poster Faces,User Review Volume, Gross , Budget , GB Ratio ,IMDB Score,Aspect Ratio,Facebook Likes
Cry Freedom,1987,147,0,9913,18855,0,51," $5,899,797 "," $29,000,000 ", 0.20 ,7.5,2.35,0
Mumford,1999,112,759,8134,17873,4,123," $4,554,569 "," $28,000,000 ", 0.16 ,6.9,2.35,
Seed of Chucky,2004,88,64,28632,2567,0,214," $17,016,190 "," $12,000,000 ", 1.42 ,4.9,1.85,0
The Jacket,2005,94,11,92850,5085,0,263," $6,301,131 "," $29,000,000 ", 0.22 ,7.1,2.35,
Aladdin,1992,90,63,260939,52970,0,244," $217,350,219 "," $28,000,000 ", 7.76 ,8,1.33,0
Straight Outta Compton,2015,167,473,119928,2702,0,331," $161,029,270 "," $28,000,000 ", 5.75 ,7.9,2.35,
Indiana Jones and the Temple of Doom,1984,118,14000,329969,11898,2,524," $179,870,271 "," $28,000,000 ", 6.42 ,7.6,2.35,0
The Rugrats Movie,1998,83,5,14005,3438,0,67," $100,491,683 "," $24,000,000 ", 4.19 ,5.9,1.85,
Along Came a Spider,2001,104,93,59232,17109,0,317," $74,058,698 "," $60,000,000 ", 1.23 ,6.3,2.35,0
Once Upon a Time in Mexico,2003,102,0,130094,46186,1,471," $55,845,943 "," $29,000,000 ", 1.93 ,6.4,1.78,
Die Hard,1988,131,323,592582,40585,0,722," $81,350,242 "," $28,000,000 ", 2.91 ,8.2,2.35,25000
Role Models,2008,101,136,195255,3400,1,170," $67,266,300 "," $28,000,000 ", 2.40 ,6.9,1.85,
The Big Short,2015,130,285,182983,57308,4,374," $70,235,322 "," $28,000,000 ", 2.51 ,7.8,2.35,99000
Taking Woodstock,2009,120,0,24663,1500,12,71," $7,443,007 "," $30,000,000 ", 0.25 ,6.7,1.85,
Miracle,2004,135,149,36636,1845,0,289," $64,371,181 "," $28,000,000 ", 2.30 ,7.5,2.4,0
Dawn of the Dead,2004,110,0,194422,10438,0,1057," $58,885,635 "," $26,000,000 ", 2.26 ,7.4,2.35,
The Wedding Planner,2001,103,163,61317,17533,2,229," $60,400,856 "," $35,000,000 ", 1.73 ,5.2,2.35,0
The Royal Tenenbaums,2001,110,0,209133,14609,1,962," $52,353,636 "," $21,000,000 ", 2.49 ,7.6,2.35,
Identity,2003,91,446,177828,3969,0,714," $51,475,962 "," $30,000,000 ", 1.72 ,7.3,2.35,11000
Last Vegas,2013,105,226,106755,35694,2,173," $63,910,583 "," $28,000,000 ", 2.28 ,6.6,2.35,
For Your Eyes Only,1981,127,46,72085,2118,1,263," $62,300,000 "," $28,000,000 ", 2.23 ,6.8,2.35,2000
Serendipity,2001,82,23,85423,37,0,374," $49,968,653 "," $28,000,000 ", 1.78 ,6.9,1.85,
Timecop,1994,99,0,44394,2010,1,115," $44,450,000 "," $27,000,000 ", 1.65 ,5.8,2.35,0
Zoolander,2001,90,0,201084,34565,0,523," $45,162,741 "," $28,000,000 ", 1.61 ,6.6,2.35,
Safe Haven,2013,115,529,78008,1554,0,160," $71,346,930 "," $28,000,000 ", 2.55 ,6.7,2.35,23000
Hocus Pocus,1993,96,197,60494,1275,0,132," $39,514,713 "," $28,000,000 ", 1.41 ,6.7,1.85,
No Reservations,2007,104,96,59068,3497,2,128," $43,097,652 "," $28,000,000 ", 1.54 ,6.3,2.35,0
Kick-Ass,2010,117,905,435864,2357,1,801," $48,043,505 "," $30,000,000 ", 1.60 ,7.7,2.35,
30 Minutes or Less,2011,83,181,77935,1987,3,122," $37,053,924 "," $28,000,000 ", 1.32 ,6.1,2.35,0
Dracula 2000,2000,99,71,27378,23344,0,365," $33,000,377 "," $28,000,000 ", 1.18 ,4.9,2.35,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,81,44,29738,47677,6,85," $66,950,483 "," $28,000,000 ", 2.39 ,6.2,2.39,12000
Pride & Prejudice,2005,135,456,193455,1083,2,1058," $38,372,662 "," $28,000,000 ", 1.37 ,7.8,2.35,
Blade Runner,1982,117,0,461609,13877,2,1168," $27,000,000 "," $28,000,000 ", 0.96 ,8.2,2.35,34000
Rob Roy,1995,139,105,34427,16125,1,126," $31,600,000 "," $28,000,000 ", 1.13 ,6.9,2.35,
3 Days to Kill,2014,123,368,69355,1286,0,211," $30,688,364 "," $28,000,000 ", 1.10 ,6.2,2.35,1000
We Own the Night,2007,117,115,72693,3681,4,199," $28,563,179 "," $21,000,000 ", 1.36 ,6.9,1.85,
Lost Souls,2000,97,710,9338,1805,2,167," $16,779,636 "," $28,000,000 ", 0.60 ,4.8,2.35,29000
Winged Migration,2001,81,63,10369,66,0,153," $10,762,178 "," $160,000,000 ", 0.07 ,8,1.85,
Just My Luck,2006,103,80,44103,3211,3,149," $17,324,744 "," $28,000,000 ", 0.62 ,5.3,1.85,0
"Mystery, Alaska",1999,119,116,22250,2171,0,123," $8,888,143 "," $28,000,000 ", 0.32 ,6.7,2.35,
The Spy Next Door,2010,94,32,29971,3436,4,71," $24,268,828 "," $28,000,000 ", 0.87 ,5.4,1.85,0
A Simple Wish,1997,89,23,4288,5535,3,21," $8,119,205 "," $28,000,000 ", 0.29 ,5.4,1.85,
Ghosts of Mars,2001,98,0,43006,28867,5,460," $8,434,601 "," $28,000,000 ", 0.30 ,4.9,2.35,0
Our Brand Is Crisis,2015,107,234,11476,3944,2,50," $6,998,324 "," $28,000,000 ", 0.25 ,6.1,1.85,
Pride and Prejudice and Zombies,2016,108,23,23775,4710,0,134," $10,907,291 "," $28,000,000 ", 0.39 ,5.8,2.35,73000
Kundun,1997,134,17000,21606,4,0,117," $5,532,301 "," $28,000,000 ", 0.20 ,7,2.35,
How to Lose Friends & Alienate People,2008,110,53,61269,858,4,98," $2,775,593 "," $27,000,000 ", 0.10 ,6.5,1.85,0
Kick-Ass 2,2013,103,65,202967,19168,0,378," $28,751,715 "," $28,000,000 ", 1.03 ,6.6,2.35,
Brick Mansions,2014,100,11,32103,25387,2,112," $20,285,518 "," $28,000,000 ", 0.72 ,5.7,2.35,0
Octopussy,1983,131,46,74374,1898,0,225," $67,900,000 "," $27,500,000 ", 2.47 ,6.6,2.35,
Knocked Up,2007,133,0,298590,12874,2,559," $148,734,225 "," $30,000,000 ", 4.96 ,7,1.85,0
My Sister's Keeper,2009,109,415,74476,1775,2,184," $49,185,998 "," $30,000,000 ", 1.64 ,7.4,2.35,
"Welcome Home, Roscoe Jenkins",2008,114,92,10791,3565,3,39," $42,168,445 "," $35,000,000 ", 1.20 ,5.3,1.85,464000
A Passage to India,1984,164,767,12980,1334,0,89," $26,400,000 "," $16,000,000 ", 1.65 ,7.4,1.85,
Notes on a Scandal,2006,92,14,64625,646,0,281," $17,508,670 "," $15,000,000 ", 1.17 ,7.4,1.85,0
Rendition,2007,122,151,47203,50950,2,197," $9,664,316 "," $27,500,000 ", 0.35 ,6.8,2.35,
Star Trek VI: The Undiscovered Country,1991,110,120,55513,16230,0,188," $74,888,996 "," $30,000,000 ", 2.50 ,7.2,2.35,0
Divine Secrets of the Ya-Ya Sisterhood,2002,116,144,15352,3845,4,199," $69,586,544 "," $27,000,000 ", 2.58 ,6,2.35,
The Jungle Book,2016,106,4000,106221,32921,0,398," $362,645,141 "," $175,000,000 ", 2.07 ,7.8,1.85,65000
Kiss the Girls,1997,115,39,50653,14322,1,143," $60,491,560 "," $27,000,000 ", 2.24 ,6.6,2.35,
The Blues Brothers,1980,148,644,142448,2566,1,319," $54,200,000 "," $27,000,000 ", 2.01 ,7.9,1.85,14000
Joyful Noise,2012,118,650,6476,3389,4,71," $30,920,167 "," $25,000,000 ", 1.24 ,5.7,2.35,
About a Boy,2002,101,129,144021,74,0,391," $40,566,655 "," $30,000,000 ", 1.35 ,7.1,2.35,0
Lake Placid,1999,82,49,42761,3313,0,366," $31,768,374 "," $27,000,000 ", 1.18 ,5.6,2.35,
Lucky Number Slevin,2006,110,118,262153,26451,3,507," $22,494,487 "," $27,000,000 ", 0.83 ,7.8,2.35,1000
The Right Stuff,1983,193,133,45271,6341,0,170," $21,500,000 "," $27,000,000 ", 0.80 ,7.9,1.85,
Anonymous,2011,130,776,34488,2452,3,136," $4,463,292 "," $30,000,000 ", 0.15 ,6.9,2.35,15000
Dark City,1998,111,295,156929,4696,1,624," $14,337,579 "," $27,000,000 ", 0.53 ,7.7,2.35,
The Duchess,2008,110,10,61777,6420,3,140," $13,823,741 "," $13,500,000 ", 1.02 ,6.9,2.35,0
The Newton Boys,1998,123,0,8309,11969,4,39," $10,297,897 "," $27,000,000 ", 0.38 ,6,2.35,
Case 39,2009,109,22,60555,15790,1,174," $13,248,477 "," $27,000,000 ", 0.49 ,6.2,2.35,0
Suspect Zero,2004,99,54,16555,1721,0,139," $8,712,564 "," $27,000,000 ", 0.32 ,5.9,1.33,
Martian Child,2007,106,43,17436,2495,0,71," $7,486,906 "," $27,000,000 ", 0.28 ,6.8,1.85,0
Spy Kids: All the Time in the World in 4D,2011,89,0,15866,4311,5,83," $38,536,376 "," $27,000,000 ", 1.43 ,3.6,1.85,
Money Monster,2016,98,0,19611,10894,1,103," $41,008,532 "," $27,000,000 ", 1.52 ,6.7,2.35,0
Formula 51,2001,93,31,42876,1044,2,167," $5,204,007 "," $28,000,000 ", 0.19 ,6.3,2.35,
Flawless,1999,112,541,14612,46022,1,105," $4,485,485 "," $15,000,000 ", 0.30 ,6.4,1.85,0
Mindhunters,2004,101,212,49405,4186,0,226," $4,476,235 "," $27,000,000 ", 0.17 ,6.4,2.35,
What Just Happened,2008,104,272,23767,71973,1,111," $1,089,365 "," $25,000,000 ", 0.04 ,5.7,2.35,845000
The Statement,2003,120,278,4257,3286,4,52," $763,044 "," $23,000,000 ", 0.03 ,6.2,1.85,
Paul Blart: Mall Cop,2009,91,41,84209,2954,1,201," $20,819,129 "," $26,000,000 ", 0.80 ,5.2,1.85,0
Freaky Friday,2003,97,70,96693,3984,2,271," $110,222,438 "," $26,000,000 ", 4.24 ,6.1,1.85,
The 40-Year-Old Virgin,2005,133,0,313797,8341,1,546," $109,243,478 "," $26,000,000 ", 4.20 ,7.1,1.85,0
Shakespeare in Love,1998,123,108,175524,1690,0,752," $100,241,322 "," $25,000,000 ", 4.01 ,7.2,2.35,
A Walk Among the Tombstones,2014,114,71,87950,15428,0,207," $25,977,365 "," $28,000,000 ", 0.93 ,6.5,2.35,15000
Kindergarten Cop,1990,111,425,107801,2403,4,109," $91,457,688 "," $26,000,000 ", 3.52 ,6,1.85,
Pineapple Express,2008,117,234,255257,15590,3,374," $87,341,380 "," $27,000,000 ", 3.23 ,7,2.35,0
Ever After: A Cinderella Story,1998,121,72,57958,2747,1,345," $65,703,412 "," $26,000,000 ", 2.53 ,7,2.35,
Open Range,2003,139,0,54096,5458,0,494," $58,328,680 "," $22,000,000 ", 2.65 ,7.5,2.35,0
Flatliners,1990,115,541,62037,10493,5,148," $61,490,000 "," $26,000,000 ", 2.37 ,6.6,2.35,
A Bridge Too Far,1977,175,0,40277,669,14,210," $50,800,000 "," $26,000,000 ", 1.95 ,7.4,2.35,0
Red Eye,2005,85,0,94108,1090,0,673," $57,859,105 "," $26,000,000 ", 2.23 ,6.5,2.35,
Final Destination 2,2003,90,160,120786,3172,0,472," $46,455,802 "," $26,000,000 ", 1.79 ,6.2,1.85,0
"O Brother, Where Art Thou?",2000,107,0,225102,3066,3,862," $45,506,619 "," $26,000,000 ", 1.75 ,7.8,2.35,
Legion,2010,100,124,80870,3889,0,315," $40,168,080 "," $26,000,000 ", 1.54 ,5.2,2.35,0
Pain & Gain,2013,129,0,161168,13573,4,287," $49,874,933 "," $26,000,000 ", 1.92 ,6.5,2.35,
In Good Company,2004,109,80,48973,28493,2,214," $45,489,752 "," $26,000,000 ", 1.75 ,6.5,1.85,736000
Clockstoppers,2002,94,906,11212,3917,0,94," $36,985,501 "," $26,000,000 ", 1.42 ,5.2,1.85,
Silverado,1985,133,759,28247,1154,4,149," $33,200,000 "," $26,000,000 ", 1.28 ,7.2,2.35,0
Brothers,2009,105,260,88035,42473,0,201," $28,501,651 "," $26,000,000 ", 1.10 ,7.1,2.35,
Agent Cody Banks 2: Destination London,2004,100,8,11092,3742,4,44," $23,222,861 "," $26,000,000 ", 0.89 ,4.5,2.35,167000
New Year's Eve,2011,113,0,66579,23456,15,134," $54,540,525 "," $56,000,000 ", 0.97 ,5.7,1.85,
Original Sin,2001,118,49,44913,11662,1,181," $16,252,765 "," $42,000,000 ", 0.39 ,6,2.35,3000
The Raven,2012,110,160,72886,2356,1,190," $16,005,978 "," $26,000,000 ", 0.62 ,6.4,2.35,
Welcome to Mooseport,2004,110,80,10667,2466,2,95," $14,469,428 "," $26,000,000 ", 0.56 ,5.2,1.85,26000
Highlander: The Final Dimension,1994,99,5,16194,2960,0,79," $13,829,734 "," $26,000,000 ", 0.53 ,4.3,2.35,
Blood and Wine,1996,101,30,7772,2228,3,55," $1,075,288 "," $22,000,000 ", 0.05 ,6.1,1.85,145000
The Curse of the Jade Scorpion,2001,103,11000,31798,12534,0,178," $7,496,522 "," $26,000,000 ", 0.29 ,6.8,1.37,
Flipper,1996,95,0,8008,616,1,26," $20,047,715 "," $25,530,000 ", 0.79 ,5.2,2.35,54000
Self/less,2015,117,763,57674,17847,0,126," $12,276,810 "," $26,000,000 ", 0.47 ,6.5,2.35,
The Constant Gardener,2005,129,353,111351,1565,0,568," $33,565,375 "," $15,000,000 ", 2.24 ,7.5,1.85,0
The Passion of the Christ,2004,120,0,179235,705,0,2814," $499,263 "," $30,000,000 ", 0.02 ,7.1,2.35,
Mrs. Doubtfire,1993,125,0,181380,52201,5,223," $219,200,000 "," $25,000,000 ", 8.77 ,6.9,2.35,0
Rain Man,1988,133,272,383784,12285,3,331," $172,825,435 "," $25,000,000 ", 6.91 ,8,1.85,
Gran Torino,2008,116,16000,561773,17347,0,871," $148,085,755 "," $33,000,000 ", 4.49 ,8.2,2.35,28000
W.,2008,129,0,40941,4264,1,320," $25,517,500 "," $25,100,000 ", 1.02 ,6.4,2.35,
Taken,2008,93,180,483756,16461,0,974," $145,000,989 "," $25,000,000 ", 5.80 ,7.9,2.35,29000
The Best of Me,2014,118,97,43084,3197,0,99," $26,761,283 "," $26,000,000 ", 1.03 ,6.7,2.35,
The Bodyguard,1992,129,81,89972,2551,0,126," $121,945,720 "," $25,000,000 ", 4.88 ,6.1,1.85,0
Schindler's List,1993,185,14000,865020,15233,0,1273," $96,067,179 "," $22,000,000 ", 4.37 ,8.9,1.85,
The Help,2011,146,150,318955,23227,2,460," $169,705,587 "," $25,000,000 ", 6.79 ,8.1,1.85,75000
The Fifth Estate,2013,128,386,29282,36337,1,105," $3,254,172 "," $28,000,000 ", 0.12 ,6.2,2.35,
Scooby-Doo 2: Monsters Unleashed,2004,93,67,33180,7800,0,149," $84,185,387 "," $80,000,000 ", 1.05 ,4.9,1.85,567000
Freddy vs. Jason,2003,97,31,89101,4692,0,885," $82,163,317 "," $30,000,000 ", 2.74 ,5.8,2.35,
Jimmy Neutron: Boy Genius,2001,82,8,23943,2251,0,118," $80,920,948 "," $30,000,000 ", 2.70 ,6,1.85,425000
Cloverfield,2008,85,198,296787,3958,0,2192," $80,034,302 "," $25,000,000 ", 3.20 ,7,1.85,
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,88,34,42765,2501,0,93," $78,656,813 "," $25,000,000 ", 3.15 ,6,1.85,0
The Untouchables,1987,119,0,219008,22767,1,418," $76,270,454 "," $25,000,000 ", 3.05 ,7.9,2.35,
No Country for Old Men,2007,122,1000,612060,4738,0,1518," $74,273,505 "," $25,000,000 ", 2.97 ,8.1,2.35,21000
Ride Along,2014,99,167,75903,2394,1,109," $134,141,530 "," $25,000,000 ", 5.37 ,6.2,2.35,
Bridget Jones's Diary,2001,97,11,171568,16999,3,571," $71,500,556 "," $26,000,000 ", 2.75 ,6.7,2.35,0
Chocolat,2000,121,529,150308,1323,1,498," $71,309,760 "," $25,000,000 ", 2.85 ,7.3,1.85,
"Legally Blonde 2: Red, White & Blonde",2003,95,0,46417,3500,2,297," $89,808,372 "," $45,000,000 ", 2.00 ,4.6,1.85,66000
Parental Guidance,2012,105,99,21176,5740,5,107," $77,264,926 "," $25,000,000 ", 3.09 ,6.1,1.85,
No Strings Attached,2011,108,425,168717,22739,1,178," $70,625,986 "," $25,000,000 ", 2.83 ,6.2,2.35,24000
Tombstone,1993,134,170,95241,4453,0,439," $56,505,065 "," $25,000,000 ", 2.26 ,7.8,2.35,
Romeo Must Die,2000,115,43,57040,9082,1,365," $55,973,336 "," $25,000,000 ", 2.24 ,6.1,2.35,0
Final Destination 3,2006,86,70,102861,2420,0,571," $54,098,051 "," $25,000,000 ", 2.16 ,5.8,2.35,
The Lucky One,2012,101,96,76882,1852,0,106," $60,443,237 "," $25,000,000 ", 2.42 ,6.5,2.35,29000
Bridge to Terabithia,2007,96,47,110390,28071,3,522," $82,234,139 "," $17,000,000 ", 4.84 ,7.2,1.85,
Finding Neverland,2004,101,395,174591,58823,1,632," $51,676,606 "," $25,000,000 ", 2.07 ,7.8,2.35,0
A Madea Christmas,2013,100,0,4265,3202,0,27," $52,528,330 "," $25,000,000 ", 2.10 ,4.7,1.85,
The Grey,2011,117,248,203111,16606,1,755," $51,533,608 "," $25,000,000 ", 2.06 ,6.8,2.35,32000
Hide and Seek,2005,101,21,70205,23328,0,450," $51,097,664 "," $30,000,000 ", 1.70 ,5.9,2.35,
Anchorman: The Legend of Ron Burgundy,2004,98,285,267921,656730,5,577," $84,136,909 "," $26,000,000 ", 3.24 ,7.2,1.85,0
Goodfellas,1990,146,17000,728685,24783,3,989," $46,836,394 "," $25,000,000 ", 1.87 ,8.7,1.85,
Agent Cody Banks,2003,102,91,26755,3037,3,104," $47,285,499 "," $26,000,000 ", 1.82 ,5,2.35,542000
Nanny McPhee,2005,97,52,49676,17278,0,181," $47,124,400 "," $25,000,000 ", 1.88 ,6.6,2.35,
Scarface,1983,142,0,537442,16464,0,851," $44,700,000 "," $25,000,000 ", 1.79 ,8.3,2.35,19000
Nothing to Lose,1997,98,176,36253,2457,2,92," $44,455,658 "," $25,000,000 ", 1.78 ,6.7,1.85,
The Last Emperor,1987,219,973,70274,2451,0,133," $43,984,230 "," $23,000,000 ", 1.91 ,7.8,2.35,0
Contraband,2012,109,175,101977,26625,3,161," $66,489,425 "," $25,000,000 ", 2.66 ,6.5,2.35,
Money Talks,1997,97,420,22748,2530,2,41," $41,067,398 "," $25,000,000 ", 1.64 ,6.1,2.35,666000
There Will Be Blood,2007,158,0,372990,533,0,1107," $40,218,903 "," $25,000,000 ", 1.61 ,8.1,2.35,
The Wild Thornberrys Movie,2002,85,0,12218,2908,0,33," $39,880,476 "," $25,000,000 ", 1.60 ,5.2,2.35,187000
Rugrats Go Wild,2003,80,0,5674,3017,0,35," $39,399,750 "," $25,000,000 ", 1.58 ,5.6,2.35,
Undercover Brother,2002,86,92,29661,3001,3,179," $38,230,435 "," $25,000,000 ", 1.53 ,5.8,1.85,0
The Sisterhood of the Traveling Pants,2005,119,42,44838,6862,0,223," $39,008,741 "," $25,000,000 ", 1.56 ,6.6,2.35,
Kiss of the Dragon,2001,98,20,53126,7945,1,254," $36,833,473 "," $25,000,000 ", 1.47 ,6.6,2.35,0
The House Bunny,2008,97,29,63969,18789,1,126," $48,237,389 "," $25,000,000 ", 1.93 ,5.5,2.35,
Million Dollar Arm,2014,124,44,35833,6393,0,96," $36,447,959 "," $25,000,000 ", 1.46 ,7,2.39,1000
The Giver,2014,97,176,86251,36064,3,260," $45,089,048 "," $25,000,000 ", 1.80 ,6.5,2.35,
What a Girl Wants,2003,105,29,48095,16400,1,194," $35,990,505 "," $20,000,000 ", 1.80 ,5.8,2.35,0
Jeepers Creepers II,2003,104,108,45102,1340,0,316," $35,143,332 "," $17,000,000 ", 2.07 ,5.6,2.35,
Good Luck Chuck,2007,101,7,74622,2822,1,150," $35,000,629 "," $25,000,000 ", 1.40 ,5.6,1.85,0
Cradle 2 the Grave,2003,101,43,34942,6867,2,185," $34,604,054 "," $30,000,000 ", 1.15 ,5.8,2.35,
The Hours,2002,114,335,102123,12624,3,660," $41,597,830 "," $25,000,000 ", 1.66 ,7.6,1.85,0
She's the Man,2006,105,99,116762,20109,0,261," $33,687,630 "," $20,000,000 ", 1.68 ,6.4,1.85,
Mr. Bean's Holiday,2007,90,68,88714,794,0,235," $32,553,210 "," $25,000,000 ", 1.30 ,6.3,1.85,0
Anacondas: The Hunt for the Blood Orchid,2004,97,27,22243,2730,0,144," $31,526,393 "," $25,000,000 ", 1.26 ,4.6,2.35,
Blood Ties,2013,144,0,14612,18442,6,41," $41,229 "," $25,500,000 ", 0.00 ,6.5,2.35,0
August Rush,2007,114,59,87331,50927,0,364," $31,655,091 "," $30,000,000 ", 1.06 ,7.5,2.35,
Elizabeth,1998,124,159,75973,1006,1,409," $30,012,990 "," $25,000,000 ", 1.20 ,7.5,1.85,0
Bride of Chucky,1998,89,31,39768,667,0,292," $32,368,960 "," $25,000,000 ", 1.29 ,5.3,1.85,
Tora! Tora! Tora!,1970,160,130,25019,1548,0,159," $14,500,000 "," $25,000,000 ", 0.58 ,7.5,2.35,0
Spice World,1997,93,14,28377,2176,1,261," $29,247,405 "," $25,000,000 ", 1.17 ,3.3,1.85,
Dance Flick,2009,88,82,10161,4378,0,50," $25,615,792 "," $25,000,000 ", 1.02 ,3.5,1.85,657000
The Shawshank Redemption,1994,142,0,1689764,13495,0,4144," $28,341,469 "," $25,000,000 ", 1.13 ,9.3,1.85,
Crocodile Dundee in Los Angeles,2001,92,23,19699,1315,0,119," $25,590,119 "," $21,150,000 ", 1.21 ,4.8,1.85,387000
Kingpin,1996,117,101,63459,16937,2,185," $24,944,213 "," $27,000,000 ", 0.92 ,6.9,2.35,
The Gambler,2014,111,81,48559,3784,1,145," $33,631,221 "," $25,000,000 ", 1.35 ,6,2.35,0
August: Osage County,2013,121,53,67797,39690,3,285," $37,738,400 "," $25,000,000 ", 1.51 ,7.3,2.35,
A Lot Like Love,2005,107,13,58297,1095,3,161," $21,835,784 "," $30,000,000 ", 0.73 ,6.6,1.85,0
Eddie the Eagle,2016,106,452,32507,21195,3,119," $15,785,632 "," $23,000,000 ", 0.69 ,7.5,2.35,
He Got Game,1998,136,0,36108,37315,0,109," $21,554,585 "," $25,000,000 ", 0.86 ,6.9,1.85,0
Don Juan DeMarco,1994,97,19,41310,52122,3,117," $22,200,000 "," $25,000,000 ", 0.89 ,6.8,1.85,
The Losers,2010,97,41,74691,12841,1,165," $23,527,955 "," $25,000,000 ", 0.94 ,6.4,2.35,0
Don't Be Afraid of the Dark,2010,99,24,40776,3744,1,250," $24,042,490 "," $25,000,000 ", 0.96 ,5.6,1.85,
War,2007,103,5,72673,33565,0,166," $22,466,994 "," $25,000,000 ", 0.90 ,6.3,2.35,0
Punch-Drunk Love,2002,95,0,109855,11994,0,888," $17,791,031 "," $25,000,000 ", 0.71 ,7.3,2.35,
EuroTrip,2004,93,17,162067,14180,5,316," $17,718,223 "," $25,000,000 ", 0.71 ,6.6,1.85,0
Half Past Dead,2002,98,70,12263,1855,0,132," $15,361,537 "," $13,000,000 ", 1.18 ,4.6,1.85,
Unaccompanied Minors,2006,90,176,8398,4431,1,56," $16,647,384 "," $26,000,000 ", 0.64 ,5.1,2.35,498000
"Bright Lights, Big City",1988,107,21,5817,3067,0,37," $16,118,077 "," $25,000,000 ", 0.64 ,5.6,1.85,
The Adventures of Pinocchio,1996,90,48,4086,2465,2,22," $15,091,542 "," $25,000,000 ", 0.60 ,5.3,2.35,246000
The Box,2009,115,219,76303,2466,1,376," $15,045,676 "," $16,000,000 ", 0.94 ,5.6,2.35,
The Ruins,2008,93,27,60062,1749,0,351," $17,427,926 "," $8,000,000 ", 2.18 ,5.9,2.35,0
The Next Best Thing,2000,99,154,9361,2498,1,162," $14,983,572 "," $25,000,000 ", 0.60 ,4.7,1.85,
My Soul to Take,2010,107,0,16411,2537,2,136," $14,637,490 "," $25,000,000 ", 0.59 ,4.8,2.35,0
The Girl Next Door,2004,110,42,171151,911,2,513," $14,589,444 "," $25,000,000 ", 0.58 ,6.8,1.85,
Maximum Risk,1996,101,17,15814,1634,1,68," $14,095,303 "," $25,000,000 ", 0.56 ,5.4,2.35,53000
Stealing Harvard,2002,85,54,11211,3065,1,92," $13,973,532 "," $25,000,000 ", 0.56 ,5.1,1.85,
Legend,2015,132,241,87682,27659,2,174," $1,865,774 "," $30,000,000 ", 0.06 ,7,2.35,43000
Shark Night 3D,2011,90,160,20823,4952,0,130," $18,860,403 "," $25,000,000 ", 0.75 ,4,1.85,
Angela's Ashes,1999,145,317,16995,1282,1,163," $13,038,660 "," $25,000,000 ", 0.52 ,7.3,1.85,0
Draft Day,2014,110,425,39357,3757,1,113," $28,831,145 "," $25,000,000 ", 1.15 ,6.8,2.35,
The Conspirator,2010,122,0,23696,21163,0,135," $11,538,204 "," $25,000,000 ", 0.46 ,7,2.35,0
Lords of Dogtown,2005,107,308,43903,16651,0,194," $11,008,432 "," $25,000,000 ", 0.44 ,7.1,1.85,
The 33,2015,127,36,21098,2230,7,56," $12,188,642 "," $26,000,000 ", 0.47 ,6.9,2.35,0
Big Trouble in Little China,1986,99,0,92464,896,1,331," $11,100,000 "," $25,000,000 ", 0.44 ,7.3,2.35,
Warrior,2011,140,149,332276,29692,1,514," $13,651,662 "," $25,000,000 ", 0.55 ,8.2,2.35,77000
Michael Collins,1996,133,277,24145,48482,2,93," $11,030,963 "," $28,000,000 ", 0.39 ,7.1,1.85,
Gettysburg,1993,271,33,21940,2107,0,256," $10,769,960 "," $25,000,000 ", 0.43 ,7.7,1.85,0
Stop-Loss,2008,112,108,17757,43560,2,99," $10,911,750 "," $25,000,000 ", 0.44 ,6.5,1.85,
Abandon,2002,99,79,7909,28987,3,157," $10,719,367 "," $25,000,000 ", 0.43 ,4.9,2.35,261000
Brokedown Palace,1999,100,57,18693,582,0,187," $10,114,315 "," $25,000,000 ", 0.40 ,6.4,2.35,
The Possession,2012,92,30,47169,2348,0,162," $49,122,319 "," $14,000,000 ", 3.51 ,5.9,2.35,17000
Mrs. Winterbourne,1996,105,121,5668,5023,3,50," $10,070,000 "," $25,000,000 ", 0.40 ,6.2,1.85,
Straw Dogs,2011,110,37,27117,11431,1,140," $10,324,441 "," $25,000,000 ", 0.41 ,5.8,2.35,7000
The Hoax,2006,116,529,14581,1134,0,74," $7,156,933 "," $25,000,000 ", 0.29 ,6.7,1.85,
Stone Cold,1991,88,22,4972,583,1,62," $9,286,314 "," $17,000,000 ", 0.55 ,5.9,1.85,0
The Road,2009,111,214,177401,23566,2,504," $56,692 "," $25,000,000 ", 0.00 ,7.3,2.35,
Underclassman,2005,95,32,4875,2165,3,26," $5,654,777 "," $25,000,000 ", 0.23 ,4.1,2.35,26000
Say It Isn't So,2001,95,6,11375,2413,2,91," $5,516,708 "," $25,000,000 ", 0.22 ,4.9,1.85,
The World's Fastest Indian,2005,127,79,44198,12574,1,251," $5,128,124 "," $25,000,000 ", 0.21 ,7.9,2.35,11000
Snakes on a Plane,2006,105,160,115650,2603,0,1033," $34,014,398 "," $33,000,000 ", 1.03 ,5.6,2.35,
Tank Girl,1995,104,54,24790,9662,0,173," $4,064,333 "," $25,000,000 ", 0.16 ,5.2,2.35,0
King's Ransom,2005,95,2,3229,4990,7,20," $4,006,906 "," $15,000,000 ", 0.27 ,4.1,1.85,
Blindness,2008,121,353,59462,142,0,300," $3,073,392 "," $25,000,000 ", 0.12 ,6.6,1.85,0
BloodRayne,2005,92,892,30628,2930,2,471," $1,550,000 "," $25,000,000 ", 0.06 ,2.9,2.35,
