movie title,Year,color,duration,genre1,genre2,genre3,genre4,genre5,genre6,genre7,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keyword1,plot_keyword2,plot_keyword3,plot_keyword4,plot_keyword5,num_user_for_reviews,language,country,content_rating,gross,budget,Gross_to_Budget_Ratio,IMDB Score,aspect_ratio, Facebook Likes 
The Iron Giant,1999,Color,90,Action,Adventure,Animation,Comedy,Drama,Family,Sci0Fi,663,14000,631,521,128455,16358,1,boy,friend,government agent,maine,robot,514,English,USA,PG,"$23,159,305 ","$70,000,000 ",0.33,8,2.35," 24,000 "
The Life Aquatic with Steve Zissou,2004,Color,119,Adventure,Comedy,Drama,,,,,0,13000,1000,639,139535,15757,8,expedition,oceanographer,sea,shark,team,632,English,USA,R,"$24,006,726 ","$50,000,000 ",0.48,7.3,2.35, -   
Free State of Jones,2016,Color,139,Action,Biography,Drama,History,War,,,378,11000,552,303,3077,12786,1,american civil war,civil war,u.s. civil war,,,47,English,USA,R,"$20,389,967 ","$50,000,000 ",0.41,6.7,1.85," 48,000 "
The Life of David Gale,2003,Color,130,Crime,Drama,Thriller,,,,,317,18000,14000,256,88270,32637,0,activist,death,death row,murder,texas,420,English,USA,R,"$19,593,740 ","$50,000,000 ",0.39,7.5,2.35, 955 
Man of the House,2005,Color,100,Action,Comedy,,,,,,65,1000,923,730,19829,6171,5,cheerleader,cheerleading movie,neo noir,neo western,texas ranger,94,English,USA,PG013,"$19,118,247 ","$40,000,000 ",0.48,5.4,2.35, -   
Run All Night,2015,Color,114,Action,Crime,Drama,Thriller,,,,174,14000,988,655,76010,16992,2,death,drug dealer,limousine,limousine driver,one night,205,English,USA,R,"$26,442,251 ","$50,000,000 ",0.53,6.6,2.35, 624 
Eastern Promises,2007,Color,96,Crime,Mystery,Thriller,,,,,0,10000,6000,509,189249,17211,1,male pubic hair,pubic hair,russian,sex scene,turkish bath,398,English,USA,R,"$17,114,882 ","$25,000,000 ",0.68,7.7,1.85," 1,000 "
Into the Blue,2005,Color,110,Action,Adventure,Crime,Thriller,,,,134,23000,1000,795,63599,25049,3,bahamas,blood splatter,cocaine,hairy chest,shark,208,English,USA,PG013,"$18,472,363 ","$50,000,000 ",0.37,5.8,2.35, 970 
The Messenger: The Story of Joan of Arc,1999,Color,158,Adventure,Biography,Drama,History,War,,,0,51,40,15,55889,144,0,cathedral,dauphin,france,trial,wartime rape,390,English,France,R,"$14,131,298 ","$390,000,000 ",0.04,6.4,2.35," 45,000 "
Your Highness,2011,Color,102,Adventure,Comedy,Fantasy,,,,,234,20000,11000,11000,85237,45202,3,knight,prince,quest,rescue,thong bikini,274,English,USA,R,"$21,557,240 ","$49,900,000 ",0.43,5.6,2.35, -   
Dream House,2011,Color,84,Drama,Mystery,Thriller,,,,,260,6000,694,692,46239,8018,0,closet,father daughter relationship,psychiatric hospital,real life sisters playing sisters,train,137,English,USA,PG013,"$21,283,440 ","$55,000,000 ",0.39,6,2.35," 27,000 "
Mad City,1997,Color,115,Crime,Drama,Thriller,,,,,333,972,713,317,16562,2606,2,hostage,museum,natural history museum,news reporter,reporter,73,English,USA,PG013,"$10,556,196 ","$50,000,000 ",0.21,6.2,2.35, -   
Baby's Day Out,1994,Color,99,Adventure,Comedy,Crime,Drama,Family,,,32,1000,619,479,33186,2949,1,baby,baby boy,kidnapping,kidnapping a child,taxi,78,English,USA,PG,"$16,671,505 ","$50,000,000 ",0.33,5.9,1.85," 44,000 "
The Scarlet Letter,1995,Color,135,Drama,Romance,,,,,,596,10000,3000,2000,12037,15820,1,17th century,adultery,letter,pubic hair,swimming,90,English,USA,R,"$10,400,000 ","$50,000,000 ",0.21,5.1,2.35," 18,000 "
Fair Game,2010,Color,108,Biography,Drama,Thriller,,,,,218,6000,3000,405,38513,10191,2,bush administration,cia,interview,iraq,new york times,127,English,USA,PG013,"$9,528,092 ","$22,000,000 ",0.43,6.8,2.35, 773 
Domino,2005,Color,127,Action,Biography,Crime,Drama,Thriller,,,12000,984,940,897,58015,5702,0,bounty hunter,fbi,female bounty hunter,female nudity,reality show,374,English,France,R,"$10,137,232 ","$50,000,000 ",0.2,6,2.35," 1,000 "
Jade,1995,Color,107,Crime,Drama,Thriller,,,,,607,2000,979,602,9227,5461,0,blackmail,investigation,murder,panties pulled down,prostitution,70,English,USA,R,"$9,795,017 ","$50,000,000 ",0.2,5.1,1.85," 2,000 "
Gamer,2009,Color,95,Action,Sci0Fi,Thriller,,,,,83,18000,8000,1000,113483,29926,1,battle,convict,death,mind control,role playing,245,English,USA,R,"$20,488,579 ","$50,000,000 ",0.41,5.8,1.85," 25,000 "
Beautiful Creatures,2013,Color,124,Drama,Fantasy,Romance,,,,,98,1000,852,592,67796,3580,7,dream,escape,magic,magic spell,small town,258,English,USA,PG013,"$19,445,217 ","$60,000,000 ",0.32,6.2,2.35, -   
Death to Smoochy,2002,Color,109,Comedy,Crime,Drama,Thriller,,,,0,49000,811,809,34730,52885,2,children,children's tv show,money,revenge,scandal,341,English,UK,R,"$8,355,815 ","$55,000,000 ",0.15,6.4,1.85, -   
Zoolander 2,2016,Color,102,Comedy,,,,,,,0,14000,8000,1000,34964,24107,4,chosen one,fashion,fashion model,model,retired,150,English,USA,PG013,"$28,837,115 ","$50,000,000 ",0.58,4.8,2.35," 39,000 "
The Big Bounce,2004,Color,88,Comedy,Crime,,,,,,5,11000,387,338,15880,11972,5,breasts,consensual sex,female nudity,judge,surfer,93,English,USA,PG013,"$6,471,394 ","$50,000,000 ",0.13,4.9,2.35," 3,000 "
What Planet Are You From?,2000,Color,87,Comedy,Sci0Fi,,,,,,0,2000,602,591,8070,3954,0,alien,baby,banker,pregnancy,question in title,91,English,USA,R,"$6,291,602 ","$50,000,000 ",0.13,5.6,1.85," 15,000 "
Drive Angry,2011,Color,104,Action,Fantasy,Thriller,,,,,71,12000,2000,982,81800,16481,1,baby,cult,oklahoma,sex scene,waitress,211,English,USA,R,"$10,706,786 ","$50,000,000 ",0.21,5.5,1.85, 669 
Street Fighter: The Legend of Chun0Li,2009,Color,96,Action,Crime,Drama,Mystery,Thriller,,,43,841,342,77,19824,1385,2,chun li,crime fighter,gangster,mobster,rescue,179,English,Canada,PG013,"$8,742,261 ","$18,000,000 ",0.49,3.7,2.35, -   
The One,2001,Color,85,Action,Sci0Fi,Thriller,,,,,70,26000,5000,848,77684,32831,1,fight,multiverse,police,police officer,prison,294,English,USA,PG013,"$43,905,746 ","$49,000,000 ",0.9,5.9,2.35," 47,000 "
The Adventures of Ford Fairlane,1990,Color,104,Action,Adventure,Comedy,Crime,Music,Mystery,,212,879,560,380,14429,2795,5,detective,groupie,murder,music industry,rock n roll,113,English,USA,R,"$21,413,502 ","$40,000,000 ",0.54,6.3,2.35, -   
Traffic,2000,Color,190,Crime,Drama,Thriller,,,,,0,599,399,215,170684,1418,0,cocaine,drug smuggling,interlinked stories,judge,mexico,867,English,USA,R,"$124,107,476 ","$48,000,000 ",2.59,7.6,1.85, -   
Indiana Jones and the Last Crusade,1989,Color,127,Action,Adventure,Fantasy,,,,,14000,11000,844,440,515306,12884,5,castle,diary,holy grail,map,nazi,477,English,USA,PG013,"$197,171,806 ","$48,000,000 ",4.11,8.3,2.35, -   
Chappie,2015,Color,120,Action,Crime,Drama,Sci0Fi,Thriller,,,662,20000,2000,502,172965,23051,0,artificial intelligence,consciousness,future,mind uploading,robot,627,English,USA,R,"$31,569,268 ","$49,000,000 ",0.64,6.9,2.35," 1,000 "
The Bone Collector,1999,Color,118,Crime,Drama,Mystery,Thriller,,,,176,18000,11000,308,120202,29748,2,new york city,police,quadriplegic,serial killer,suicide,397,English,USA,R,"$66,488,090 ","$48,000,000 ",1.39,6.7,2.35, 812 
Panic Room,2002,Color,112,Crime,Drama,Thriller,,,,,21000,17000,324,237,206104,18141,0,brownstone,burglar,money,panic,panic room,850,English,USA,R,"$95,308,367 ","$48,000,000 ",1.99,6.8,2.35, -   
Three Kings,1999,Color,114,Action,Adventure,Comedy,Drama,War,,,737,2000,490,393,137854,3743,1,gold,gulf war,iraq,kuwait,map,560,English,USA,R,"$60,652,036 ","$48,000,000 ",1.26,7.1,2.35, -   
Child 44,2015,Color,137,Crime,Drama,Thriller,,,,,79,27000,254,194,40568,27666,3,child murderer,murder,sex,soviet union,woman slaps a man,185,English,Czech Republic,R,"$1,206,135 ","$50,000,000 ",0.02,6.4,2.35, 718 
Rat Race,2001,Color,112,Adventure,Comedy,,,,,,109,779,629,261,93367,1823,8,casino,locker,money,museum,race,497,English,Canada,PG013,"$56,607,223 ","$48,000,000 ",1.18,6.4,2.35, -   
K0PAX,2001,Color,120,Drama,Mystery,Sci0Fi,,,,,34,18000,12000,1000,148490,33615,1,extraterrestrial,hospital,patient,planet,science,537,English,USA,PG013,"$50,173,190 ","$48,000,000 ",1.05,7.4,2.35, -   
Kate & Leopold,2001,Color,123,Comedy,Fantasy,Romance,,,,,446,20000,1000,821,64595,22209,1,bridge,brooklyn bridge,falling down an elevator shaft,time travel,time travel romance,316,English,USA,PG013,"$47,095,453 ","$48,000,000 ",0.98,6.4,1.85, 361 
Bedazzled,2000,Color,93,Comedy,Fantasy,Romance,,,,,11000,3000,575,484,81888,5390,2,contract,devil,dream,soul,wish,254,English,USA,PG013,"$37,879,996 ","$48,000,000 ",0.79,6,2.35, 877 
The Cotton Club,1984,Color,123,Crime,Drama,Music,,,,,0,12000,5000,886,12771,18793,1,brothers hugging,jazz,jealousy,nudity,parole violation,84,English,USA,R,"$25,900,000 ","$58,000,000 ",0.45,6.5,1.85, -   
3:10 to Yuma,2007,Color,122,Adventure,Crime,Drama,Western,,,,446,23000,8000,600,237872,33548,1,outlaw,rancher,small western town,stagecoach,train,560,English,USA,R,"$53,574,088 ","$55,000,000 ",0.97,7.8,2.35," 16,000 "
Taken 3,2014,Color,115,Action,Thriller,,,,,,118,14000,794,482,133436,16967,0,betrayal,death,final showdown,murder,on the run,323,English,France,PG013,"$89,253,340 ","$48,000,000 ",1.86,6,2.35, -   
Out of Sight,1998,Color,123,Crime,Drama,Romance,Thriller,,,,0,3000,745,23,71708,3768,1,heist,neo noir,one last job,opposites attract,u.s. marshal,307,English,USA,R,"$37,339,525 ","$48,000,000 ",0.78,7,1.85, -   
The Cable Guy,1996,Color,96,Comedy,Drama,Thriller,,,,,0,2000,1000,302,122347,3718,1,cable guy,foreplay,friend,kissing,television,345,English,USA,PG013,"$60,154,431 ","$47,000,000 ",1.28,6,2.35," 3,000 "
Dick Tracy,1990,Color,105,Action,Comedy,Crime,Music,Romance,Thriller,,631,678,631,327,47819,2096,1,crime boss,detective,dick tracy,gangster,orphan,164,English,USA,PG,"$103,738,726 ","$100,000,000 ",1.04,6.1,1.85, -   
The Thomas Crown Affair,1999,Color,113,Crime,Romance,Thriller,,,,,323,1000,977,835,73068,4660,0,art,insurance investigator,martinique,painting,trust,419,English,USA,R,"$69,304,264 ","$48,000,000 ",1.44,6.8,2.35," 43,000 "
Riding in Cars with Boys,2001,Color,132,Biography,Comedy,Drama,,,,,545,919,811,807,22447,4796,1,boy,college,heroin,working class,writer,210,English,USA,PG013,"$29,781,453 ","$48,000,000 ",0.62,6.4,1.85, -   
Happily N'Ever After,2006,Color,75,Adventure,Animation,Comedy,Family,Fantasy,,,0,4000,769,677,8693,6863,3,apostrophe in title,cinderella,first of series,punctuation in title,three word title,71,English,USA,PG,"$15,519,841 ","$47,000,000 ",0.33,4.5,1.85, 705 
Mary Reilly,1996,Color,108,Drama,Horror,Romance,Thriller,,,,350,8000,115,77,11913,8349,1,19th century,butler,housemaid,laboratory,servant,97,English,USA,R,"$5,600,000 ","$47,000,000 ",0.12,5.8,1.85, -   
My Best Friend's Wedding,1997,Color,105,Comedy,Romance,,,,,,29,8000,1000,692,98199,12344,1,best friend,chick flick,male female friendship,promise,wedding,169,English,USA,PG013,"$126,805,112 ","$46,000,000 ",2.76,6.3,2.35, -   
America's Sweethearts,2001,Color,102,Comedy,Romance,,,,,,148,8000,973,135,47573,9176,4,actor,love,movie star,press,publicist,343,English,USA,PG013,"$93,607,673 ","$48,000,000 ",1.95,5.7,2.35, 915 
Insomnia,2002,Color,118,Drama,Mystery,Thriller,,,,,22000,14000,509,319,218771,15658,0,detective,insomnia,murder,partner,police,651,English,USA,R,"$67,263,182 ","$46,000,000 ",1.46,7.2,2.35, -   
Star Trek: First Contact,1996,Color,111,Action,Adventure,Drama,Sci0Fi,Thriller,,,906,1000,1000,906,97838,6315,2,21st century,borg,borg sphere,captain,sphere,286,English,USA,PG013,"$92,001,027 ","$45,000,000 ",2.04,7.6,2.35, -   
Jonah Hex,2010,Color,81,Action,Drama,Fantasy,Thriller,Western,,,39,13000,541,364,45729,14619,1,confederate,death,independence day,military,terrorist,176,English,USA,PG013,"$10,539,414 ","$47,000,000 ",0.22,4.7,2.35," 10,000 "
Courage Under Fire,1996,Color,116,Action,Drama,Mystery,Thriller,War,,,380,18000,13000,826,40126,33233,1,bravery,honor,medal of honor,military life,unreliable flashback,107,English,USA,R,"$58,918,501 ","$46,000,000 ",1.28,6.6,1.85, -   
Liar Liar,1997,Color,86,Comedy,Fantasy,Romance,,,,,293,509,418,255,220392,2070,1,birthday,birthday wish,father disappoints child,lie,workaholic,243,English,USA,PG013,"$181,395,380 ","$45,000,000 ",4.03,6.8,1.85, 779 
The Infiltrator,2016,Color,127,Biography,Crime,Drama,Thriller,,,,65,788,423,345,2581,2104,1,,,,,,29,English,UK,R,"$14,946,229 ","$25,000,000 ",0.6,7.3,2.35," 15,000 "
The Flintstones,1994,Color,91,Comedy,Family,Fantasy,,,,,32,924,664,628,60884,3244,2,1000000 b.c.,box office hit,lawn mowing,product placement,stone age,85,English,USA,PG,"$130,512,915 ","$45,000,000 ",2.9,4.8,1.33, -   
Taken 2,2012,Color,98,Action,Crime,Thriller,,,,,118,14000,935,558,238671,16410,0,albanian,revenge,revenge motive,teenage daughter,vacation,461,English,France,PG013,"$139,852,971 ","$45,000,000 ",3.11,6.3,2.35, -   
Scary Movie 3,2003,Color,84,Comedy,,,,,,,119,807,780,750,111526,3629,7,crop circle,farm,orchestral music score,reference to michael jackson,videotape,347,English,USA,PG013,"$110,000,082 ","$48,000,000 ",2.29,5.5,1.85, -   
Miss Congeniality,2000,Color,109,Action,Comedy,Crime,Romance,,,,80,545,337,213,137377,1574,1,beauty pageant,fbi,female agent,pageant,undercover,370,English,USA,PG013,"$106,807,667 ","$45,000,000 ",2.37,6.2,1.85," 18,000 "
Journey to the Center of the Earth,2008,Color,93,Action,Adventure,Family,Fantasy,Sci0Fi,,,40,14000,3000,311,85323,17925,0,cave,lost world,missing brother,mountain,venus flytrap,212,English,USA,PG,"$101,702,060 ","$45,000,000 ",2.26,5.8,1.85, -   
The Princess Diaries 2: Royal Engagement,2004,Color,113,Comedy,Family,Romance,,,,,0,11000,1000,995,53687,15362,2,coronation,horse,princess,queen,side saddle,152,English,USA,G,"$95,149,435 ","$40,000,000 ",2.38,5.7,1.85, 697 
The Pelican Brief,1993,Color,141,Crime,Drama,Mystery,Thriller,,,,79,18000,8000,956,59569,30063,0,college professor,fbi,president,professor,supreme court,89,English,USA,PG013,"$100,768,056 ","$45,000,000 ",2.24,6.5,2.35, -   
The Client,1994,Color,119,Crime,Drama,Mystery,Thriller,,,,541,821,577,551,45798,4043,3,boy,brother,lawyer,mafia,senator,94,English,USA,PG013,"$92,115,211 ","$45,000,000 ",2.05,6.7,2.35, 943 
The Bucket List,2007,Color,97,Adventure,Comedy,Drama,,,,,0,11000,2000,760,184795,14868,1,billionaire,friend,hospital,list,mechanic,310,English,USA,PG013,"$93,452,056 ","$45,000,000 ",2.08,7.4,1.85," 9,000 "
Patriot Games,1992,Color,117,Action,Thriller,,,,,,176,11000,530,308,81442,12757,1,analyst,cia,ira,terrorist,terrorist attack,137,English,USA,R,"$83,287,363 ","$45,000,000 ",1.85,6.9,2.35, -   
Monster0in0Law,2005,Color,101,Comedy,Romance,,,,,,126,3000,949,586,43358,6292,0,breakdown,fight,mother in law,scheme,wedding,228,English,Germany,PG013,"$82,931,301 ","$60,000,000 ",1.38,5.5,2.35, -   
Prisoners,2013,Color,153,Crime,Drama,Mystery,Thriller,,,,777,20000,15000,1000,383591,37321,2,child abduction,detective,investigation,police,sex offender,620,English,USA,R,"$60,962,878 ","$46,000,000 ",1.33,8.1,1.85, 422 
Training Day,2001,Color,122,Crime,Drama,Thriller,,,,,845,18000,881,854,305929,22370,2,lapd,narc,narcotics,title spoken by character,training,633,English,USA,R,"$76,261,036 ","$45,000,000 ",1.69,7.7,2.35, -   
Galaxy Quest,1999,Color,102,Adventure,Comedy,Sci0Fi,,,,,23,25000,724,436,123558,26998,3,alien,alien race,convention,fan,general,609,English,USA,PG,"$71,423,726 ","$45,000,000 ",1.59,7.3,2.35," 14,000 "
Scary Movie 2,2001,Color,83,Comedy,,,,,,,322,1000,422,179,119590,1645,7,blow job,demon,exorcism,priest,professor,548,English,USA,R,"$71,277,420 ","$45,000,000 ",1.58,5.2,1.85, -   
The Muppets,2011,Color,103,Adventure,Comedy,Family,Musical,,,,33,970,91,84,75176,1336,3,bel air california,book,friends who live together,the muppets,tribute band,252,English,USA,PG,"$88,625,922 ","$45,000,000 ",1.97,7.1,1.85," 28,000 "
Blade,1998,Color,110,Action,Horror,,,,,,45,886,650,595,191437,3174,1,1990s,blade,blood,vampire,vampire hunter,582,English,USA,R,"$70,001,065 ","$45,000,000 ",1.56,7.1,2.35, 288 
Coach Carter,2005,Color,136,Drama,Sport,,,,,,49,17000,807,730,92702,20299,0,basketball,basketball coach,coach,contract,high school,209,English,USA,PG013,"$67,253,092 ","$30,000,000 ",2.24,7.2,2.35, 255 
Changing Lanes,2002,Color,91,Drama,Thriller,,,,,,50,521,108,67,57281,758,0,car accident,feud,lawyer,revenge,road rage,350,English,USA,R,"$66,790,248 ","$45,000,000 ",1.48,6.5,2.35," 15,000 "
Anaconda,1997,Color,89,Action,Adventure,Horror,Thriller,,,,49,2000,902,514,73539,3717,0,amazon,anaconda,boat,jungle,snake,271,English,USA,PG013,"$65,557,989 ","$45,000,000 ",1.46,4.6,2.35, -   
Coyote Ugly,2000,Color,107,Comedy,Drama,Music,Romance,,,,18,811,625,560,90539,3106,5,girl in panties,lift skirt,sexual attraction,short shorts,songwriter,379,English,USA,PG013,"$60,786,269 ","$45,000,000 ",1.35,5.6,2.35, -   
Love Actually,2003,Color,129,Comedy,Drama,Romance,,,,,628,14000,14000,548,318634,28886,9,aging rocker,christmas,love at first sight,minister,prime minister,1004,English,UK,R,"$59,365,105 ","$45,000,000 ",1.32,7.7,2.35," 31,000 "
A Bug's Life,1998,Color,95,Adventure,Animation,Comedy,Family,Fantasy,,,487,18000,1000,1000,211226,24205,0,ant,circus,grasshopper,misunderstanding,overhearing,317,English,USA,G,"$162,792,677 ","$120,000,000 ",1.36,7.2,2.35," 2,000 "
From Hell,2001,Color,122,Horror,Mystery,Thriller,,,,,117,40000,1000,140,124765,41636,1,freemason,jack the ripper,opium,prostitute,victorian era,541,English,USA,R,"$31,598,308 ","$35,000,000 ",0.9,6.8,2.35," 21,000 "
The Specialist,1994,Color,110,Action,Crime,Drama,Romance,Thriller,,,49,13000,279,20,50148,13331,2,bomb,cia,explosive,explosives expert,miami florida,116,English,Peru,R,"$57,362,581 ","$45,000,000 ",1.27,5.4,1.85, -   
Tin Cup,1996,Color,135,Comedy,Drama,Romance,Sport,,,,41,982,843,808,37911,3648,0,driving range,golf,golfer,tournament,winnebago,73,English,USA,R,"$53,854,588 ","$45,000,000 ",1.2,6.3,2.35, -   
Kicking & Screaming,2005,Color,95,Comedy,Family,Romance,Sport,,,,58,14000,8000,3000,30255,27351,1,book,child,slapstick comedy,soccer,suburb,118,English,USA,PG,"$52,580,895 ","$45,000,000 ",1.17,5.6,2.35," 36,000 "
The Hitchhiker's Guide to the Galaxy,2005,Color,109,Adventure,Comedy,Sci0Fi,,,,,37,11000,2000,651,155745,14073,0,alien,friend,galaxy,hyperspace,spaceship,1053,English,USA,PG,"$51,019,112 ","$50,000,000 ",1.02,6.8,2.35," 67,000 "
Fat Albert,2004,Color,93,Comedy,Family,Fantasy,Romance,,,,38,1000,641,631,9380,4604,1,animated sequence,junkyard,love,party,television,91,English,USA,PG,"$48,114,556 ","$26,000,000 ",1.85,4.3,2.35, -   
Resident Evil: Extinction,2007,Color,94,Action,Horror,Sci0Fi,Thriller,,,,85,14000,706,443,149549,16225,1,clone,convoy,crow,desert,satellite,348,English,France,R,"$50,648,679 ","$45,000,000 ",1.13,6.3,2.35, -   
Blended,2014,Color,117,Comedy,Romance,,,,,,153,35000,11000,734,87165,49743,0,blind date,children,date,daughter,son,184,English,USA,PG013,"$46,280,507 ","$40,000,000 ",1.16,6.5,1.85, 352 
Last Holiday,2006,Color,112,Adventure,Comedy,Drama,,,,,61,1000,976,501,21215,3757,1,chef,congressman,cook,hotel,senator,116,English,USA,PG013,"$38,360,195 ","$45,000,000 ",0.85,6.4,2.35," 3,000 "
The River Wild,1994,Color,111,Action,Adventure,Crime,Thriller,,,,161,11000,894,132,32544,12161,1,criminal,rafting,river,robber,white water rafting,69,English,USA,PG013,"$46,815,748 ","$45,000,000 ",1.04,6.3,2.35," 18,000 "
The Indian in the Cupboard,1995,Color,96,Drama,Family,Fantasy,,,,,0,1000,845,563,20688,2965,1,best friend,birthday,boy,friend,magic,47,English,USA,PG,"$35,617,599 ","$45,000,000 ",0.79,5.9,1.85, -   
Savages,2012, Black and White,141,Crime,Drama,Thriller,,,,,0,749,463,404,104301,1948,4,arms tied overhead,damsel in distress,dea,marijuana,southern california,269,English,USA,R,"$47,307,550 ","$45,000,000 ",1.05,6.5,2.35, -   
Cellular,2004,Color,94,Action,Crime,Thriller,,,,,160,550,216,167,79141,1102,1,cell phone,distress signal,family in danger,police,stealing a car,355,English,USA,PG013,"$32,003,620 ","$25,000,000 ",1.28,6.5,2.35, -   
Johnny English,2003,Color,87,Action,Adventure,Comedy,,,,,29,427,304,252,114692,1461,1,british,crown jewels,explosion,funeral,spy,285,English,UK,PG,"$27,972,410 ","$35,000,000 ",0.8,6.1,1.85, -   
The Ant Bully,2006,Color,88,Adventure,Animation,Comedy,Family,Fantasy,,,8,12000,11000,8000,30055,33822,1,ant,miniaturization,punishment,shrinking,sudden change in size,70,English,USA,PG,"$28,133,159 ","$50,000,000 ",0.56,5.9,1.85, 828 
Dune,1984,Color,177,Action,Adventure,Sci0Fi,,,,,0,913,362,202,97087,2449,3,desert planet,dune,giant worm,space travel,spice,569,English,USA,PG013,"$27,400,000 ","$40,000,000 ",0.69,6.6,2.35, -   
Across the Universe,2007,Color,133,Drama,Fantasy,Musical,Romance,,,,278,5000,117,107,91860,5405,0,anti war,liverpool,love,protest,song,524,English,USA,PG013,"$24,343,673 ","$45,000,000 ",0.54,7.4,2.35," 38,000 "
Revolutionary Road,2008,Color,119,Drama,Romance,,,,,,0,29000,14000,10000,152591,53895,0,based on novel,children,connecticut,suburb,work,414,English,USA,R,"$22,877,808 ","$35,000,000 ",0.65,7.3,2.35, -   
16 Blocks,2006,Color,102,Action,Crime,Drama,Thriller,,,,503,13000,929,795,112769,15053,2,alcoholic,courthouse,detective,jail,witness,305,English,Germany,PG013,"$36,883,539 ","$52,000,000 ",0.71,6.6,2.35, -   
Babylon A.D.,2008,Color,101,Action,Adventure,Sci0Fi,Thriller,,,,326,14000,844,510,81523,15990,0,box office flop,convent,mercenary,new york,pregnant,214,English,France,PG013,"$22,531,698 ","$70,000,000 ",0.32,5.6,2.35, 522 
The Glimmer Man,1996,Color,91,Action,Comedy,Crime,Drama,Thriller,,,29,2000,461,322,15455,3855,1,detective,heavy rain,murder,partner,serial killer,80,English,USA,R,"$20,400,913 ","$45,000,000 ",0.45,5.3,1.85," 2,000 "
Multiplicity,1996,Color,117,Comedy,Romance,Sci0Fi,,,,,11000,905,484,451,24757,2348,0,clone,cloning,construction,same actor playing two characters simultaneously on screen,year 1996,81,English,USA,PG013,"$20,101,861 ","$45,000,000 ",0.45,6,2.35, -   
Aliens in the Attic,2009,Color,86,Adventure,Comedy,Family,Fantasy,Sci0Fi,,,13,1000,701,553,16580,3423,3,alien,attic,boyfriend,mind control,nintendo ds,55,English,USA,PG,"$25,200,412 ","$45,000,000 ",0.56,5.4,1.85, -   
The Pledge,2001,Color,124,Crime,Drama,Mystery,Thriller,,,,0,723,44,19,42621,793,0,nevada,pledge,police,porcupine,search,531,English,USA,R,"$19,719,930 ","$45,000,000 ",0.44,6.8,2.35, -   
The Producers,2005,Color,134,Comedy,Musical,,,,,,38,11000,8000,2000,35140,24351,3,accountant,money,opening night,scheme,swedish,409,English,USA,PG013,"$19,377,727 ","$45,000,000 ",0.43,6.4,2.35, -   
Dredd,2012,Color,95,Action,Sci0Fi,,,,,,38,409,107,20,203461,578,0,brutality,dark humor,female antagonist,female warrior,post apocalypse,588,English,UK,R,"$13,401,683 ","$35,000,000 ",0.38,7.1,2.35, 261 
The Phantom,1996,Color,100,Action,Adventure,Comedy,Fantasy,,,,23,1000,642,579,27648,3855,0,ghost,new york city,phantom,skull,superhero,148,English,Australia,PG,"$17,300,889 ","$45,000,000 ",0.38,4.9,2.35, 616 
All the Pretty Horses,2000,Color,220,Drama,Romance,Western,,,,,0,13000,861,820,11388,15006,2,1940s,cowboy,mexico,railway station,texas,183,English,USA,PG013,"$15,527,125 ","$57,000,000 ",0.27,5.8,2.35, -   
Nixon,1995, Black and White,212,Biography,Drama,History,,,,,0,12000,5000,805,23996,21130,0,courtship,election,paranoia,president,quaker,161,English,USA,R,"$13,560,960 ","$50,000,000 ",0.27,7.1,2.35, 881 
The Ghost Writer,2010,Color,128,Mystery,Thriller,,,,,,2000,854,766,501,132423,2507,2,british prime minister,death,island,memoir,writer,349,English,France,PG013,"$15,523,168 ","$45,000,000 ",0.34,7.2,2.35, -   
Deep Rising,1998,Color,106,Action,Adventure,Horror,Sci0Fi,,,,208,3000,1000,855,26551,6558,0,creature feature,hijacker,ocean,ship,shot in the leg,273,English,USA,R,"$11,146,409 ","$45,000,000 ",0.25,6,2.35," 3,000 "
Miracle at St. Anna,2008,Color,160,Action,Crime,Drama,Thriller,War,,,0,23000,1000,826,15697,26982,0,boy,german soldier,partisan,trapped,village,182,English,USA,R,"$7,916,887 ","$45,000,000 ",0.18,6,2.35, -   
Curse of the Golden Flower,2006,Color,114,Drama,Romance,,,,,,611,879,52,10,36455,949,2,china,chrysanthemum,emperor,empress,prince,229,Mandarin,China,R,"$6,565,495 ","$45,000,000 ",0.15,7,2.35, 975 
Bangkok Dangerous,2008,Color,99,Action,Crime,Thriller,,,,,15,12000,68,61,48245,12166,1,deaf,hitman,nightclub,pickpocket,rules of profession,154,English,USA,R,"$15,279,680 ","$40,000,000 ",0.38,5.4,1.85, -   
Big Trouble,2002,Color,74,Comedy,Crime,Thriller,,,,,188,11000,1000,865,17307,13917,2,airport,fbi agent,person in a car trunk,suitcase,suitcase bomb,186,English,USA,PG013,"$7,262,288 ","$40,000,000 ",0.18,6.5,1.85, -   
Love in the Time of Cholera,2007,Color,139,Drama,Romance,,,,,,179,267,202,50,19114,538,0,19th century,colombia,love,marriage,widow,115,English,USA,R,"$4,584,886 ","$45,000,000 ",0.1,6.4,2.35, 115 
Shadow Conspiracy,1997,Color,103,Action,Thriller,,,,,,170,849,623,269,3803,2457,2,american president,assassin,conspiracy,president,white house,41,English,USA,R,"$2,154,540 ","$45,000,000 ",0.05,4.9,2.35, -   
