movie title,color,genre1,genre2,genre3,genre4,genre5,genre6,genre7,plot_keyword1,plot_keyword2,plot_keyword3,plot_keyword4,plot_keyword5,language,country,content_rating,IMDB Score
The Sixth Sense,Color,Drama,Mystery,Thriller,,,,,able to see the dead,ghost,plot twist,psychic,surprise ending,English,USA,PG013,8.1
Man on a Ledge,Color,Action,Crime,Thriller,,,,,detective,diamond,hotel,police,rooftop,English,USA,PG013,6.6
The Big Year,Color,Comedy,,,,,,,alaska,birding,competition,migration,storm,English,USA,PG,6.2
The Karate Kid,Color,Action,Drama,Family,Sport,,,,apartment,bully,fight,karate,master,English,USA,PG,7.2
American Hustle,Color,Crime,Drama,,,,,,based on true story,con artist,drunk wife,fbi investigation,scam,English,USA,R,7.3
The Proposal,Color,Comedy,Drama,Romance,,,,,alaska,deportation,father son relationship,male objectification,sitka alaska,English,USA,PG013,6.7
Double Jeopardy,Color,Crime,Mystery,Thriller,,,,,blood,murder,sex scene,wrongful arrest,wrongful conviction,English,USA,R,6.4
Back to the Future Part II,Color,Adventure,Comedy,Sci0Fi,,,,,alternate timeline,same actor playing two characters simultaneously on screen,second part,year 2015,younger version of character,English,USA,PG,7.8
Lucy,Color,Action,Sci0Fi,Thriller,,,,,brain capacity,drugs,fictional drug,one woman army,tough girl,English,France,R,6.4
Fifty Shades of Grey,Color,Drama,Romance,,,,,,female frontal nudity,female nudity,perversion,sex scene,spanking,English,USA,R,4.1
Spy Kids 30D: Game Over,Color,Action,Adventure,Comedy,Family,Sci0Fi,,,mission,spy,surfing,trapped,virtual reality,English,USA,PG,4.1
A Time to Kill,Color,Crime,Drama,Thriller,,,,,african american,court,law,mississippi,trial,English,USA,R,7.4
Cheaper by the Dozen,Color,Comedy,Family,,,,,,9 year old,house,illinois,new job,vomiting,English,USA,PG,5.8
Lone Survivor,Color,Action,Biography,Drama,Thriller,War,,,courage,navy seal,outnumbered,shot multiple times,survival,English,USA,R,7.6
A League of Their Own, Black and White,Comedy,Drama,Sport,,,,,baseball,friend,oregon,rivalry,softball,English,USA,PG,7.2
The Conjuring 2,Color,Horror,Mystery,Thriller,,,,,based on supposedly true story,house,paranormal investigating,psychic,second part,English,USA,R,7.8
The Social Network,Color,Biography,Drama,,,,,,competitiveness,creator,entrepreneur,facebook,intellectual property,English,USA,PG013,7.7
He's Just Not That Into You,Color,Comedy,Drama,Romance,,,,,advertising,bar,dating,lingerie slip,six word title,English,USA,PG013,6.4
Scary Movie 4,Color,Comedy,,,,,,,female nudity,male nudity,parody,reference to myspace,sequel,English,USA,PG013,5.1
Scream 3,Color,Horror,Mystery,,,,,,death,ghostface,murder,scream,survivor,English,USA,R,5.5
Back to the Future Part III,Color,Adventure,Comedy,Sci0Fi,Western,,,,band,dog,letter,time machine,tombstone,English,USA,PG,7.4
Get Hard,Color,Comedy,Crime,,,,,,camera focus on female butt,gay bar,millionaire,singing in a car,two word title,English,USA,R,6
Bram Stoker's Dracula,Color,Fantasy,Horror,Romance,,,,,dracula,horror movie remake,maze,monster sex,vampire,English,USA,R,7.5
Julie & Julia,Color,Biography,Drama,Romance,,,,,american,blog,book,cook,cooking,English,USA,PG013,7
42,Color,Biography,Drama,Sport,,,,,baseball,baseball player,brooklyn dodgers,major league baseball,racism,English,USA,PG013,7.5
The Talented Mr. Ripley,Color,Crime,Drama,Thriller,,,,,1950s,italy,mistaken identity,nudity,sociopath,English,USA,R,7.3
Dumb and Dumber To,Color,Comedy,,,,,,,adoption,highway travel,road trip,sequel,stupidity,English,USA,PG013,5.7
Eight Below,Color,Adventure,Drama,Family,,,,,antarctica,dog,siberian husky,sled dog,survival,English,USA,PG,7.3
The Intern,Color,Comedy,Drama,,,,,,reference to ben affleck,reference to brad pitt,reference to george clooney,reference to jack nicholson,website,English,USA,PG013,7.2
Ride Along 2,Color,Action,Comedy,,,,,,computer hacker,crime boss,detective,drugs,wedding,English,USA,PG013,5.9
The Last of the Mohicans,Color,Action,Adventure,Drama,Romance,War,,,18th century,based on novel,colonel,french and indian war,revenge,English,USA,R,7.8
Ray,Color,Biography,Drama,Music,,,,,1950s,1960s,racism,rhythm and blues,singer,English,USA,PG013,7.7
Sin City, Black and White,Crime,Thriller,,,,,,anthology,corruption,hearing characters thoughts,neo noir,night,English,USA,R,8.1
Vantage Point,Color,Crime,Drama,Mystery,Thriller,,,,explosion,multiple perspectives,president,secret service,shooting,English,USA,PG013,6.6
"I Love You, Man",Color,Comedy,Romance,,,,,,bromance,friend,gay brother,homosexual subtext,wedding,English,USA,R,7.1
Shallow Hal,Color,Comedy,Drama,Fantasy,Romance,,,,dying,friend,inner beauty,love,self help guru,English,USA,PG013,5.9
JFK, Black and White,Drama,History,Thriller,,,,,death,gay slur,homosexuality,investigation,president,English,France,R,8
Big Momma's House 2,Color,Comedy,Crime,,,,,,cheerleading,fbi,fbi agent,nanny,undercover,English,USA,PG013,4.6
The Mexican,Color,Adventure,Comedy,Crime,Romance,,,,curse,hostage,mexico,pistol,vomiting,English,USA,R,6.1
Unbroken,Color,Biography,Drama,Sport,War,,,,emaciation,male nudity,plane crash,prisoner of war,torture,English,USA,PG013,7.2
17 Again,Color,Comedy,Drama,Family,Fantasy,Romance,,,adult as child,father son relationship,high school student,janitor,school,English,USA,PG013,6.4
The Other Woman,Color,Comedy,Romance,,,,,,beach house,blonde bombshell,cheating husband,revenge,wife meets mistress,English,USA,PG013,6
The Final Destination,Color,Horror,,,,,,,attempted suicide,car crash,collapsing scaffold,overflowing bathtub,tooth knocked out,English,USA,R,5.2
Bridge of Spies,Color,Drama,History,Thriller,,,,,cia,cold war,lawyer,negotiation,spy,English,USA,PG013,7.6
Behind Enemy Lines,Color,Action,Drama,Thriller,War,,,,battle,massacre,navigator,navy,rescue,English,USA,PG013,6.4
Shall We Dance,Color,Comedy,Drama,Romance,,,,,dance,dance competition,dance lesson,love,teacher,English,USA,PG013,6.1
Small Soldiers,Color,Action,Adventure,Comedy,Family,Sci0Fi,,,action figure,battle,computer,military,toy,English,USA,PG013,6.1
Spawn,Color,Action,Horror,,,,,,based on comic,based on comic book,dark hero,image comics,superhero,English,USA,R,5.2
The Count of Monte Cristo,Color,Action,Adventure,Drama,Romance,Thriller,,,count,escape,island,revenge,sailor,English,UK,PG013,7.7
The Lincoln Lawyer,Color,Crime,Drama,Thriller,,,,,defense attorney,defense lawyer,lawyer,plot twist,prostitute,English,USA,R,7.3
Unknown,Color,Action,Mystery,Thriller,,,,,agriculture,airport,amnesia,nurse,scientist,English,UK,PG013,6.9
The Prestige,Color,Drama,Mystery,Sci0Fi,Thriller,,,,illusion,magician,obsession,rivalry,secret,English,USA,PG013,8.5
Horrible Bosses 2,Color,Comedy,Crime,,,,,,kidnapping,reference to franz beckenbauer,scene during end credits,second part,singing in a car,English,USA,R,6.3
Escape from Planet Earth,Color,Adventure,Animation,Comedy,Family,Sci0Fi,,,alien,cult film,mission control,product placement,rescue,English,USA,PG,5.9
Apocalypto,Color,Action,Adventure,Drama,Thriller,,,,jaguar,mayan,solar eclipse,tribe,village,Maya,USA,R,7.8
The Living Daylights,Color,Action,Adventure,Thriller,,,,,british agent,defection,escape,kgb,soviet general,English,UK,PG,6.7
Predators,Color,Action,Adventure,Sci0Fi,Thriller,,,,kicked in the face,martial arts,punched in the face,strong female character,woman punching a man,English,USA,R,6.4
Legal Eagles,Color,Comedy,Crime,Romance,,,,,judicial,judiciary,lawyer,murder,painting,English,USA,PG,5.9
Secret Window,Color,Mystery,Thriller,,,,,,adultery,extramarital affair,infidelity,unfaithfulness,writer,English,USA,PG013,6.6
The Lake House,Color,Drama,Fantasy,Romance,,,,,house,lake,letter,love across time,parallel time,English,USA,PG,6.8
The Skeleton Key, Black and White,Horror,Mystery,Thriller,,,,,attic,bound and gagged,hoodoo,secret,southern gothic,English,USA,PG013,6.5
The Odd Life of Timothy Green,Color,Comedy,Drama,Family,Fantasy,,,,dodgeball,portrait,soccer,soccer game,young love,English,USA,PG,6.6
Made of Honor,Color,Comedy,Romance,,,,,,friend,love,maid,maid of honor,marriage,English,USA,PG013,5.8
Jersey Boys,Color,Biography,Drama,Music,Musical,,,,band,music group,musical quartet,singer,song,English,USA,R,6.9
The Rainmaker,Color,Crime,Drama,Thriller,,,,,courtroom,domestic violence,insurance company,lawyer,underdog,English,USA,PG013,7.1
Gothika,Color,Horror,Mystery,Thriller,,,,,memory,murder,patient,psychiatrist,the devil,English,USA,R,5.8
Amistad,Color,Drama,History,,,,,,courtroom,mutiny,ship,slave ship,slave trade,English,USA,R,7.2
Medicine Man,Color,Adventure,Drama,Romance,,,,,cancer,environment,gas chromatograph,jungle,nature,English,USA,PG013,6
Aliens vs. Predator: Requiem,Color,Action,Horror,Sci0Fi,Thriller,,,,alien,escape,hunting,hybrid,predator,English,USA,R,4.7
Ri¢hie Ri¢h,Color,Comedy,Family,,,,,,attempted murder,based on comic book,escape from prison,lost at sea,wealth,English,USA,PG,5.2
Autumn in New York,Color,Drama,Romance,,,,,,may december romance,new york,new york city,rockefeller center,title directed by female,English,USA,PG013,5.5
Paul,Color,Adventure,Comedy,Sci0Fi,,,,,alien,geek,nerd,road trip,ufo,English,USA,R,7
The Guilt Trip,Color,Comedy,Drama,,,,,,cross country,love,mother son relationship,on the road,trip,English,USA,PG013,5.8
Scream 4,Color,Horror,Mystery,,,,,,author,book,deputy,murder,sheriff,English,USA,R,6.2
8MM,Color,Mystery,Thriller,,,,,,investigation,obsession,private eye,private investigator,snuff film,English,Germany,R,6.5
The Doors,Color,Biography,Drama,Music,Musical,,,,death,paris france,rock band,singer,the doors,English,USA,R,7.2
Sex Tape,Color,Comedy,,,,,,,sex in a car,sex video,sexual desire,sexuality,undressing,English,USA,R,5.1
Hanging Up,Color,Comedy,Drama,,,,,,actress,clown costume,magazine,party planner,soap opera actress,English,Germany,PG013,4.7
Final Destination 5,Color,Horror,,,,,,,blood splatter,death,eyeball run over by car,latex gloves,suspension bridge,English,USA,R,5.9
Mickey Blue Eyes,Color,Comedy,Crime,Romance,,,,,auctioneer,fbi,mafia,mobster,painting,English,UK,PG013,5.8
Pay It Forward,Color,Drama,,,,,,,alcoholism,boy,good deed,protective male,teacher,English,USA,PG013,7.2
Fever Pitch,Color,Comedy,Drama,Romance,Sport,,,,baltimore orioles,boston red sox,promotion,ups,world series,English,USA,PG013,6.2
Drillbit Taylor,Color,Comedy,Drama,,,,,,bodyguard,bully,generation y,high school,nerd,English,USA,PG013,5.7
A Million Ways to Die in the West,Color,Comedy,Western,,,,,,dancing sheep,fetish,musical scene,racial humor,snake poison,English,USA,R,6.1
The Shadow,Color,Action,Adventure,Crime,Fantasy,Mystery,Thriller,,1930s,bomb,city,invisibility,the shadow,English,USA,PG013,6
Extremely Loud & Incredibly Close,Color,Adventure,Drama,Mystery,,,,,fear,mourning,mute,quest,revelation,English,USA,PG013,6.9
Morning Glory,Color,Comedy,Drama,Romance,,,,,job offer,roller coaster,slow motion action scene,slow motion sequence,television,English,USA,PG013,6.5
Get Rich or Die Tryin',Color,Biography,Crime,Drama,Music,,,,male frontal nudity,male pubic hair,prison,pubic hair,violence,English,USA,R,5
The Art of War,Color,Action,Adventure,Crime,Thriller,,,,blood splatter,fbi,murder,secretary general,united nations,English,USA,R,5.7
Rent,Color,Drama,Musical,Romance,,,,,aids,hiv positive,lawyer,new york city,roommate,English,USA,PG013,7
Bless the Child,Color,Crime,Drama,Horror,Thriller,,,,easter,fbi,luminol,nurse,omen,English,USA,R,5.1
The Out0of0Towners,Color,Comedy,,,,,,,job interview,manhattan new york city,new york city,remake,sausage,English,USA,PG013,5.3
The Island of Dr. Moreau,Color,Horror,Sci0Fi,Thriller,,,,,animal experimentation,chimera,island,jungle,mutant,English,USA,PG013,4.4
The Musketeer,Color,Action,Adventure,Romance,,,,,guard,king,murder,musketeer,swordsman,English,Germany,PG013,4.7
The Other Boleyn Girl,Color,Biography,Drama,History,Romance,,,,children,court,king,king henry viii,love,English,UK,PG013,6.7
Sweet November,Color,Drama,Romance,,,,,,advertising,cancer,dog,san francisco california,terminal illness,English,USA,PG013,6.7
The Reaping,Color,Horror,Thriller,,,,,,biblical plague,louisiana,missionary,plague,small town,English,USA,R,5.7
Mean Streets,Color,Crime,Drama,Romance,Thriller,,,,bar,catholic guilt,epilepsy,italian american,money,English,USA,R,7.4
Renaissance Man,Color,Comedy,Drama,,,,,,army,basic training,reference to shakespeare's hamlet,teacher,u.s. army,English,USA,PG013,6.1
Colombiana,Color,Action,Crime,Drama,Thriller,,,,female in a shower,female nudity,premarital sex,sex scene,woman wearing a miniskirt,English,France,PG013,6.4
The Magic Sword: Quest for Camelot,Color,Adventure,Animation,Comedy,Drama,Family,Fantasy,Musical,camelot,dragon,excalibur,knight,sword,English,USA,G,6.2
City by the Sea,Color,Crime,Drama,Mystery,Thriller,,,,beach,grandson,murder,new york city,police,English,USA,R,6.2
At First Sight, Black and White,Drama,Romance,,,,,,based on article,blindness,box office flop,massage therapist,regaining sight,English,USA,PG013,5.9
Torque,Color,Action,Comedy,Crime,,,,,murder,on the run,security camera,surveillance footage,timebomb,English,USA,PG013,4
City Hall,Color,Drama,Thriller,,,,,,drug dealer,mayor,new york city,probation,scandal,English,USA,R,6.2
Showgirls,Color,Drama,,,,,,,cult film,lap dance,lap dancing,stripper,striptease,English,France,NC017,4.6
Marie Antoinette,Color,Biography,Drama,History,Romance,,,,austria,cake,france,queen,versailles,English,USA,PG013,6.4
Kiss of Death,Color,Action,Crime,Thriller,,,,,beard,female nudity,police brutality,stripper,woman in lingerie,English,USA,R,5.9
Get Carter,Color,Action,Crime,Drama,Thriller,,,,affair,car crash,enforcer,funeral,murder,English,USA,R,5.1
The Impossible,Color,Drama,Thriller,,,,,,christmas,resort,thailand,tourist,tsunami,English,Spain,PG013,7.6
Ishtar,Color,Action,Adventure,Comedy,Music,Thriller,,,cia,emir,hotel,map,morocco,English,USA,PG013,4.2
Fantastic Mr. Fox,Color,Adventure,Animation,Comedy,Crime,Family,,,cider,farm,farmer,fox,tale,English,USA,PG,7.8
Life or Something Like It,Color,Comedy,Romance,,,,,,football,homeless man,interview,psychic,reporter,English,USA,PG013,5.8
Memoirs of an Invisible Man,Color,Comedy,Romance,Sci0Fi,Thriller,,,,accident,bar,chase,cia,laboratory,English,USA,PG013,5.9
Amélie, Black and White,Comedy,Romance,,,,,,cheerfulness,female protagonist,garden gnome,magical realism,waitress,French,France,R,8.4
New York Minute,Color,Comedy,Crime,Family,Romance,,,,dog,new york city,scholarship,senator,twin,English,USA,PG,4.8
Alfie,Color,Comedy,Drama,Romance,,,,,best friend,commitment,friend,limousine driver,one night stand,English,UK,R,6.2
Big Miracle,Color,Biography,Drama,Romance,,,,,arctic circle,reporter,small town,volunteer,whale,English,USA,PG,6.5
The Deep End of the Ocean,Color,Drama,,,,,,,basketball,boy,italian,kidnapping a child,reunion,English,USA,PG013,6.3
Feardotcom,Color,Crime,Horror,Thriller,,,,,bondage gear,bound and gagged,hung by one's wrists,tied to a chair,tied to a table,English,UK,R,3.3
Cirque du Freak: The Vampire's Assistant,Color,Action,Adventure,Fantasy,Thriller,,,,antidote,based on young adult novel,flyer,spider,vampire,English,USA,PG013,5.9
Victor Frankenstein,Color,Drama,Horror,Sci0Fi,Thriller,,,,assistant,experiment,frankenstein,medical student,scientist,English,USA,PG013,6
Duplex,Color,Comedy,,,,,,,christmas,duplex,television,tenant,writer,English,USA,PG013,5.8
Raise the Titanic,Color,Action,Adventure,Drama,Thriller,,,,military,mineral,ocean,ship,titanic,English,UK,PG,4.7
Universal Soldier: The Return,Color,Action,Sci0Fi,,,,,,combat,computer,general,military,reporter,English,USA,R,4.1
Pandorum,Color,Action,Horror,Mystery,Sci0Fi,Thriller,,,future,mission,space,spaceship,survival,English,Germany,R,6.8
Impostor,Color,Drama,Mystery,Sci0Fi,Thriller,,,,alien,android,bomb,future,weapon,English,USA,R,6.2
Extreme Ops,Color,Action,Adventure,Thriller,,,,,commercial,extreme sports,mountain,serbian,terrorist,English,UK,PG013,4.5
Just Visiting,Color,Comedy,Fantasy,Sci0Fi,,,,,alternate history,alternate timeline,flatulence,future time travel,time travel comedy,English,France,PG013,5.8
Sunshine,Color,Adventure,Sci0Fi,Thriller,,,,,astronaut,earth,future,icarus,sun,English,UK,R,7.3
A Thousand Words,Color,Comedy,Drama,,,,,,box office flop,buddhist,liar,literary agent,magical tree,English,USA,PG013,5.9
Delgo,Color,Adventure,Animation,Comedy,Fantasy,Romance,,,box office flop,computer animation,one word title,surrealism,villainess,English,USA,PG,4.4
The Gunman,Color,Action,Crime,Drama,Mystery,Thriller,,,assassination,blood vomiting,death,hit squad,mercenary,English,USA,R,5.8
Alex Rider: Operation Stormbreaker,Color,Action,Adventure,Family,Thriller,,,,14 year old,british,gadget,spy,training,English,Germany,PG,5.1
Disturbia,Color,Drama,Mystery,Thriller,,,,,binoculars,electronic tag,house arrest,neighbor,watching someone,English,USA,PG013,6.9
Hackers,Color,Comedy,Crime,Drama,Thriller,,,,computer,computer virus,cyberpunk,fight the system,sexual fantasy,English,USA,PG013,6.2
The Hunting Party,Color,Adventure,Comedy,Drama,Romance,Thriller,War,,bosnia,cia,fox,hunt,war criminal,English,USA,R,6.9
The Hudsucker Proxy, Black and White,Comedy,Fantasy,,,,,,art deco,board of directors,industry,mail,stock,English,UK,PG,7.3
The Warlords,Color,Action,Drama,History,Romance,War,,,assassination,blood brother,dynasty,general,stabbing a woman,Mandarin,Hong Kong,R,7.1
Nomad: The Warrior,Color,Drama,History,War,,,,,1800s,kazakhstan,nomad,,,Kazakh,France,R,6
Snowpiercer,Color,Action,Drama,Sci0Fi,Thriller,,,,closed ecological system,perpetual winter,population control,revolt,train,English,South Korea,R,7
The Crow,Color,Action,Drama,Fantasy,,,,,back from the dead,crime boss,crow,gothic,vigilante,English,USA,R,7.6
Baahubali: The Beginning,Color,Action,Adventure,Drama,Fantasy,War,,,ancient india,dual role,good versus evil,hindu,kingdom,Telugu,India,,8.4
The Time Traveler's Wife,Color,Drama,Fantasy,Romance,Sci0Fi,,,,jumping on a bed,kissing while having sex,librarian,male objectification,pregnant woman in bathtub,English,USA,PG013,7.1
The Fast and the Furious,Color,Action,Crime,Thriller,,,,,eighteen wheeler,illegal street racing,truck,trucker,undercover cop,English,USA,PG013,6.7
Frankenweenie, Black and White,Animation,Comedy,Family,Horror,Sci0Fi,,,dog,life,remake by original director,science,stop motion animation,English,USA,PG,7
Serenity,Color,Action,Adventure,Sci0Fi,Thriller,,,,alliance,cannibalism,future,operative,planet,English,USA,PG013,8
Against the Ropes,Color,Biography,Drama,Romance,Sport,,,,boxer,boxing,boxing arena,boxing manager,directed by co star,English,USA,PG013,5.3
Superman III,Color,Action,Comedy,Sci0Fi,,,,,computer,high school,kryptonite,smallville,villain,English,UK,PG,4.9
Grudge Match,Color,Comedy,Sport,,,,,,broke,promoter,retirement,trainer,training,English,USA,PG013,6.4
Red Cliff,Color,Action,Adventure,Drama,History,War,,,alliance,battle,china,chinese,strategy,Mandarin,China,R,7.4
Sweet Home Alabama,Color,Comedy,Romance,,,,,,alabama,divorce,divorce papers,husband wife relationship,new york city,English,USA,PG013,6.1
The Ugly Truth,Color,Comedy,Romance,,,,,,call in,chick flick,date,hot air balloon,show producer,English,USA,R,6.5
Sgt. Bilko,Color,Comedy,,,,,,,greenland,military,revenge,soldier,u.s. soldier,English,USA,PG,5.7
Spy Kids 2: Island of Lost Dreams,Color,Action,Adventure,Comedy,Family,Sci0Fi,,,island,mad scientist,scientist,sequel,spy,English,USA,PG,5.1
Star Trek: Generations,Color,Action,Adventure,Mystery,Sci0Fi,Thriller,,,23rd century,bare chested male bondage,enterprise the starship,rescue,sacrifice,English,USA,PG,6.6
The Grandmaster,Color,Action,Biography,Drama,,,,,challenge,china,hong kong,martial arts,martial arts master,Mandarin,Hong Kong,PG013,6.5
Water for Elephants,Color,Drama,Romance,,,,,,circus,circus vargas,elephant,fear,train,English,USA,PG013,6.9
The Hurricane, Black and White,Biography,Drama,Sport,,,,,african american,book,boxer,boxing,murder,English,USA,R,7.6
Enough,Color,Crime,Drama,Thriller,,,,,abusive husband,escape,intimate partner homicide,marriage,woman wearing only a man's shirt,English,USA,PG013,5.6
Heartbreakers,Color,Comedy,Crime,Romance,,,,,bank,infidelity,millionaire,money,scam,English,USA,PG013,6.2
Paul Blart: Mall Cop 2,Color,Action,Comedy,Crime,,,,,character name in title,no opening credits,sequel,wilhelm scream,,English,USA,PG,4.4
Angel Eyes,Color,Drama,Romance,,,,,,apartment,fate,gun,love,mysterious man,English,USA,R,5.6
Joe Somebody,Color,Comedy,Drama,,,,,,bully,co worker,divorce,fight,karate,English,USA,PG,5.5
The Ninth Gate,Color,Mystery,Thriller,,,,,,bare butt,gnosticism,lucifer,rare book,sex,English,Spain,R,6.7
Extreme Measures,Color,Crime,Drama,Mystery,Thriller,,,,cartoon on tv,doctor,emergency room,hospital,nudity,English,USA,R,6.1
Rock Star,Color,Drama,Music,,,,,,cover band,fired from a job,heavy metal,rock star,tribute band,English,USA,R,6.2
Precious,Color,Drama,,,,,,,abuse,african american lesbian,lesbian,lesbian couple,school,English,USA,R,7.3
White Squall,Color,Adventure,Drama,,,,,,acrophobia,jamaica,male bonding,prostitute,tragedy,English,USA,PG013,6.6
The Thing,Color,Horror,Mystery,Sci0Fi,,,,,alien creature,alien life form,antarctica,isolation,paranoia,English,USA,R,8.2
Riddick,Color,Action,Sci0Fi,Thriller,,,,,alien,left for dead,mercenary,survival,vomiting,English,USA,R,6.4
Switchback,Color,Crime,Mystery,Thriller,,,,,deputy,fbi agent,knife held to throat,serial killer,sheriff,English,USA,R,6.4
Texas Rangers,Color,Action,Adventure,Drama,Thriller,Western,,,army,mexican,orphan,texas,texas ranger,English,USA,PG013,5.2
City of Ember,Color,Adventure,Family,Fantasy,Sci0Fi,,,,box,food,mayor,pipeworks,scientist,English,USA,PG,6.5
The Master,Color,Drama,,,,,,,drifter,past life regression,psychological testing,right hand man,scientology,English,USA,R,7.1
The Express, Black and White,Biography,Drama,Sport,,,,,african american,coach,football movie,nonlinear timeline,syracuse university,English,USA,PG,7.3
The 5th Wave,Color,Action,Adventure,Sci0Fi,Thriller,,,,alien,attack,based on novel,based on young adult novel,fear,English,USA,PG013,5.2
Creed,Color,Drama,Sport,,,,,,boxing,boxing match,fight,montage,philadelphia,English,USA,PG013,7.7
The Town,Color,Crime,Drama,Thriller,,,,,bank manager,bank robbery,criminal gang,heist,prison,English,USA,R,7.6
What to Expect When You're Expecting,Color,Comedy,Drama,Romance,,,,,baby,expecting twins,hawaiian shirt,photographer,pregnancy,English,USA,PG013,5.7
Burn After Reading,Color,Comedy,Drama,,,,,,cia,divorce,embassy,gym,memoir,English,USA,R,7
Nim's Island,Color,Adventure,Comedy,Family,Fantasy,,,,author,girl,island,reading,scientist,English,USA,PG,6
Rush,Color,Action,Biography,Drama,Sport,,,,1970s,female rear nudity,formula 1,rivalry,sex with a nurse,English,UK,R,8.1
Magnolia,Color,Drama,,,,,,,abusive father,coincidence,fictional game show,fictional quiz show,multiple storyline,English,USA,R,8
Cop Out,Color,Action,Comedy,Crime,,,,,baseball card,detective,partner,thief,wedding,English,USA,R,5.6
How to Be Single,Color,Comedy,Romance,,,,,,motor scooter,new york city,newborn baby,scooter,single,English,USA,R,6.1
Dolphin Tale,Color,Drama,Family,,,,,,boy,dolphin,prosthetics,tail,trap,English,USA,PG,6.9
Twilight,Color,Drama,Fantasy,Romance,,,,,blood,high school,love,school,vampire,English,USA,PG013,5.2
John Q,Color,Crime,Drama,Thriller,,,,,health care,heart transplant,hospital,hostage,insurance,English,USA,PG013,7
Blue Streak,Color,Action,Comedy,Crime,Thriller,,,,detective,diamond,jewel,police,thief,English,USA,PG013,6.3
We're the Millers,Color,Comedy,Crime,,,,,,fake family,male frontal nudity,marijuana,mexico,stripper,English,USA,R,7
Breakdown,Color,Action,Crime,Drama,Mystery,Thriller,,,car breakdown,diner,jeep,paranoia,violence,English,USA,R,6.9
Never Say Never Again,Color,Action,Adventure,Thriller,,,,,british,character says now that you're on the case i hope we're going to have some gratuitous sex and violence,cruise missile,missile,nuclear warhead,English,UK,PG,6.2
Hot Tub Time Machine,Color,Comedy,Sci0Fi,,,,,,cheating wife,drug reference,maintenance man,male vomiting,promiscuous woman,English,USA,R,6.4
Dolphin Tale 2,Color,Drama,Family,,,,,,dolphin,latex gloves,medical scrubs,purple gloves,turtle,English,USA,PG,6.4
Reindeer Games,Color,Action,Adventure,Crime,Drama,Family,Fantasy,Romance,casino,christmas,christmas season,girlfriend,release from prison,English,USA,R,5.7
A Man Apart,Color,Action,Crime,Drama,Thriller,,,,bust,dea,drug cartel,justice,tragic hero,English,USA,R,6.1
Aloha,Color,Comedy,Drama,Romance,,,,,box office flop,critically bashed,hawaii,one word title,written by director,English,USA,PG013,5.4
Ghosts of Mississippi,Color,Drama,History,,,,,,activist,assassin,civil rights,trial,widow,English,USA,PG013,6.7
Snow Falling on Cedars,Color,Drama,Mystery,Romance,Thriller,,,,fisherman,japanese,love,trial,washington state,English,USA,PG013,6.8
The Rite,Color,Drama,Horror,Mystery,Thriller,,,,demon,exorcism,exorcist,faith,seminary,English,USA,PG013,6
Gattaca,Color,Drama,Sci0Fi,Thriller,,,,,accident,future,genetics,mission,police,English,USA,PG013,7.8
Isn't She Great,Color,Biography,Comedy,Romance,,,,,autistic son,cancer,female protagonist,new york city,son,English,USA,R,5.3
Space Chimps,Color,Adventure,Animation,Comedy,Family,Sci0Fi,,,astronaut,attacked by a plant,planet,senator,space travel,English,USA,G,4.5
Head of State,Color,Comedy,,,,,,,alderman,party,president,presidential candidate,washington d.c.,English,USA,PG013,5.4
The Hangover,Color,Comedy,,,,,,,drunkenness,female nudity,hangover,hedonism,morning after,English,USA,R,7.8
Ip Man 3,Color,Action,Biography,Drama,History,,,,1950s,cancer,hong kong,martial arts school,wing chun,Cantonese,Hong Kong,PG013,7.2
Austin Powers: The Spy Who Shagged Me,Color,Action,Adventure,Comedy,Crime,,,,penis joke,phallic image,sexy agent,spy,volcano hideout,English,USA,PG013,6.6
Batman,Color,Action,Adventure,,,,,,city,dc comics,gotham,pantyhose,police,English,USA,PG013,7.6
There Be Dragons,Color,Biography,Drama,War,,,,,dying,forgiveness,saint,spanish civil war,starts with narration,English,Spain,PG013,5.9
Lethal Weapon 3,Color,Action,Crime,Thriller,,,,,gangster,gun,internal affairs,police,police officer,English,USA,R,6.7
The Blind Side,Color,Biography,Drama,Sport,,,,,american football,based on true story,football star,high school football,left tackle,English,USA,PG013,7.7
Spy Kids,Color,Action,Adventure,Comedy,Family,Sci0Fi,,,brother sister relationship,espionage,rescue,secret agent,spy,English,USA,PG,5.4
Horrible Bosses,Color,Comedy,Crime,,,,,,black comedy,boss,chemical company,dental assistant,murder,English,USA,R,6.9
True Grit,Color,Adventure,Drama,Western,,,,,arkansas,murder,sheriff,texas ranger,u.s. marshal,English,USA,PG013,7.7
The Devil Wears Prada,Color,Comedy,Drama,Romance,,,,,fashion,fashion industry,magazine,new york city,publishing,English,USA,PG013,6.8
Star Trek: The Motion Picture,Color,Adventure,Mystery,Sci0Fi,,,,,alien,space,space station,spacecraft,warp speed,English,USA,PG,6.4
Identity Thief,Color,Comedy,Crime,,,,,,bounty hunter,credit card,cross country,identity,police,English,USA,R,5.7
Cape Fear,Color,Crime,Thriller,,,,,,lawyer,neo noir,prison,rapist,southern gothic,English,USA,R,7.3
21,Color,Crime,Drama,Thriller,,,,,based on true story,blackjack,card counting,gambling,massachusetts institute of technology,English,USA,PG013,6.8
Trainwreck,Color,Comedy,Romance,,,,,,actress playing herself,actress shares first name with character,fired from a job,male nudity,written by star,English,Japan,R,6.3
